Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2014,1721000,Palmas - TO,"2,399",130 Mil,R$ 402 Milhões,"R$ 3,08 Mil","0,958","0,075"
2014,2607901,Jaboatão Dos Guararapes - PE,"2,43",125 Mil,R$ 199 Milhões,"R$ 1,6 Mil","0,75","0,093"
2014,3304904,São Gonçalo - RJ,"1,753",125 Mil,R$ 207 Milhões,"R$ 1,66 Mil","0,808","0,164"
2014,2910800,Feira de Santana - BA,"1,868",125 Mil,R$ 188 Milhões,"R$ 1,51 Mil","0,718","0,19"
2014,3106705,Betim - MG,"3,389",121 Mil,R$ 321 Milhões,"R$ 2,65 Mil","0,848","0,008"
2014,5201405,Aparecida de Goiânia - GO,"2,244",114 Mil,R$ 182 Milhões,"R$ 1,6 Mil","0,745","0,117"
2014,3548807,São Caetano do Sul - SP,"3,107",113 Mil,R$ 302 Milhões,"R$ 2,67 Mil","0,79","0,01"
2014,3205200,Vila Velha - ES,"2,079",112 Mil,R$ 192 Milhões,"R$ 1,71 Mil","0,755","0,152"
2014,4216602,São José - SC,"2,231",108 Mil,R$ 192 Milhões,"R$ 1,78 Mil","0,748","0,124"
2014,3513801,Diadema - SP,"3,475",108 Mil,R$ 281 Milhões,"R$ 2,61 Mil","0,744","-0,048"
2014,1600303,Macapá - AP,"1,65",106 Mil,R$ 320 Milhões,"R$ 3,02 Mil","0,945","0,101"
2014,3303500,Nova Iguaçu - RJ,"1,665",105 Mil,R$ 173 Milhões,"R$ 1,64 Mil","0,814","0,165"
2014,2504009,Campina Grande - PB,"1,917",105 Mil,R$ 182 Milhões,"R$ 1,73 Mil","0,862","0,124"
2014,1200401,Rio Branco - AC,"1,312",104 Mil,R$ 267 Milhões,"R$ 2,56 Mil","0,919","0,13"
2014,3530607,Mogi Das Cruzes - SP,"2,338",104 Mil,R$ 211 Milhões,"R$ 2,02 Mil","0,747","0,1"
2014,4104808,Cascavel - PR,"1,824",104 Mil,R$ 199 Milhões,"R$ 1,91 Mil","0,712","0,197"
2014,3301009,Campos Dos Goytacazes - RJ,"1,768",103 Mil,R$ 218 Milhões,"R$ 2,11 Mil","0,832","0,148"
2014,5201108,Anápolis - GO,"2,062","99,9 Mil",R$ 187 Milhões,"R$ 1,88 Mil","0,778","0,135"
2014,4125506,São José Dos Pinhais - PR,"3,099","95,3 Mil",R$ 240 Milhões,"R$ 2,52 Mil","0,739","-0,002"
2014,2609600,Olinda - PE,"2,179","94,9 Mil",R$ 123 Milhões,"R$ 1,29 Mil","0,829","0,118"
2014,3170107,Uberaba - MG,"1,533","93,4 Mil",R$ 188 Milhões,"R$ 2,01 Mil","0,781","0,203"
2014,3143302,Montes Claros - MG,"1,694","90,8 Mil",R$ 156 Milhões,"R$ 1,71 Mil","0,813","0,165"
2014,3516200,Franca - SP,"2,001","89,8 Mil",R$ 155 Milhões,"R$ 1,72 Mil","0,766","0,145"
2014,3526902,Limeira - SP,"2,535","88,6 Mil",R$ 199 Milhões,"R$ 2,24 Mil","0,745","0,067"
2014,4119905,Ponta Grossa - PR,"1,589","88,4 Mil",R$ 181 Milhões,"R$ 2,05 Mil","0,768","0,198"
2014,4304606,Canoas - RS,"2,619",88 Mil,R$ 218 Milhões,"R$ 2,47 Mil","0,787","0,066"
2014,4208203,Itajaí - SC,"2,51","87,1 Mil",R$ 207 Milhões,"R$ 2,37 Mil","0,748","0,091"
2014,3554102,Taubaté - SP,"2,568",85 Mil,R$ 206 Milhões,"R$ 2,43 Mil","0,798","0,066"
2014,1400100,Boa Vista - RR,"1,449","83,8 Mil",R$ 219 Milhões,"R$ 2,61 Mil","0,928","0,116"
2014,2905701,Camaçari - BA,"3,001","81,6 Mil",R$ 244 Milhões,"R$ 2,99 Mil","0,859","0,037"
2014,3501608,Americana - SP,"2,574","80,8 Mil",R$ 179 Milhões,"R$ 2,22 Mil","0,725","0,069"
2014,4204202,Chapecó - SC,"2,051","80,6 Mil",R$ 163 Milhões,"R$ 2,02 Mil","0,763","0,138"
2014,4313409,Novo Hamburgo - RS,"2,456","80,4 Mil",R$ 159 Milhões,"R$ 1,98 Mil","0,701","0,084"
2014,4314407,Pelotas - RS,"1,752","79,6 Mil",R$ 183 Milhões,"R$ 2,3 Mil","0,832","0,154"
2014,3513009,Cotia - SP,"3,013","79,2 Mil",R$ 203 Milhões,"R$ 2,57 Mil","0,726","0,011"
2014,2604106,Caruaru - PE,"1,695","78,3 Mil",R$ 103 Milhões,"R$ 1,32 Mil","0,782","0,182"
2014,3548906,São Carlos - SP,"2,439","77,6 Mil",R$ 199 Milhões,"R$ 2,56 Mil","0,799","0,084"
2014,3503208,Araraquara - SP,"2,266","77,3 Mil",R$ 162 Milhões,"R$ 2,1 Mil","0,765","0,111"
2014,3306305,Volta Redonda - RJ,"2,073","75,6 Mil",R$ 141 Milhões,"R$ 1,86 Mil","0,823","0,125"
