Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2013,3550308,São Paulo - SP,"3,057","5,25 Milhões","R$ 15,4 Bilhões","R$ 2,93 Mil","0,584","-0,032"
2013,3304557,Rio de Janeiro - RJ,"3,079","2,61 Milhões","R$ 7,74 Bilhões","R$ 2,96 Mil","0,706","0,003"
2013,3106200,Belo Horizonte - MG,"2,703","1,38 Milhão","R$ 3,57 Bilhões","R$ 2,59 Mil","0,815","0,065"
2013,5300108,Brasília - DF,"2,636","1,3 Milhão","R$ 5,34 Bilhões","R$ 4,1 Mil","0,935","0,071"
2013,4106902,Curitiba - PR,"3,082",936 Mil,"R$ 2,68 Bilhões","R$ 2,87 Mil","0,771","0,01"
2013,2304400,Fortaleza - CE,"2,277",806 Mil,"R$ 1,54 Bilhão","R$ 1,91 Mil","0,796","0,116"
2013,2927408,Salvador - BA,"2,323",796 Mil,"R$ 1,86 Bilhão","R$ 2,33 Mil","0,821","0,101"
2013,4314902,Porto Alegre - RS,"2,846",771 Mil,"R$ 2,22 Bilhões","R$ 2,88 Mil","0,798","0,037"
2013,2611606,Recife - PE,"2,453",756 Mil,"R$ 1,74 Bilhão","R$ 2,3 Mil","0,825","0,091"
2013,5208707,Goiânia - GO,"1,988",614 Mil,"R$ 1,41 Bilhão","R$ 2,29 Mil","0,819","0,134"
2013,1302603,Manaus - AM,"3,225",558 Mil,"R$ 1,24 Bilhão","R$ 2,21 Mil","0,786","-0,01"
2013,1501402,Belém - PA,"2,174",440 Mil,"R$ 1,09 Bilhão","R$ 2,48 Mil","0,887","0,1"
2013,3509502,Campinas - SP,"2,837",437 Mil,"R$ 1,21 Bilhão","R$ 2,78 Mil","0,686","0,022"
2013,3518800,Guarulhos - SP,"3,288",354 Mil,R$ 840 Milhões,"R$ 2,37 Mil","0,685","-0,058"
2013,2111300,São Luís - MA,"2,216",350 Mil,R$ 772 Milhões,"R$ 2,2 Mil","0,883","0,093"
2013,2408102,Natal - RN,"2,339",314 Mil,R$ 688 Milhões,"R$ 2,19 Mil","0,88","0,088"
2013,2507507,João Pessoa - PB,"2,083",296 Mil,R$ 566 Milhões,"R$ 1,91 Mil","0,904","0,095"
2013,3548708,São Bernardo do Campo - SP,"3,43",292 Mil,R$ 889 Milhões,"R$ 3,04 Mil","0,779","-0,034"
2013,2211001,Teresina - PI,"1,954",279 Mil,R$ 540 Milhões,"R$ 1,94 Mil","0,891","0,108"
2013,4205407,Florianópolis - SC,"2,776",278 Mil,R$ 945 Milhões,"R$ 3,4 Mil","0,897","0,062"
2013,5002704,Campo Grande - MS,"1,932",273 Mil,R$ 678 Milhões,"R$ 2,48 Mil","0,853","0,129"
2013,2704302,Maceió - AL,"1,933",262 Mil,R$ 512 Milhões,"R$ 1,96 Mil","0,88","0,112"
2013,3505708,Barueri - SP,"3,146",259 Mil,R$ 829 Milhões,"R$ 3,21 Mil","0,735","-0,009"
2013,5103403,Cuiabá - MT,"1,996",245 Mil,R$ 658 Milhões,"R$ 2,68 Mil","0,86","0,116"
2013,3205309,Vitoria - ES,"2,642",240 Mil,R$ 735 Milhões,"R$ 3,06 Mil","0,878","0,066"
2013,3543402,Ribeirão Preto - SP,"2,174",231 Mil,R$ 495 Milhões,"R$ 2,15 Mil","0,684","0,148"
2013,2800308,Aracaju - SE,"2,267",225 Mil,R$ 501 Milhões,"R$ 2,23 Mil","0,893","0,089"
2013,3547809,Santo André - SP,"2,671",215 Mil,R$ 465 Milhões,"R$ 2,16 Mil","0,74","0,048"
2013,3170206,Uberlândia - MG,"1,946",214 Mil,R$ 399 Milhões,"R$ 1,86 Mil","0,728","0,175"
2013,3118601,Contagem - MG,"2,828",213 Mil,R$ 397 Milhões,"R$ 1,87 Mil","0,709","0,028"
2013,3549904,São José Dos Campos - SP,"2,97",211 Mil,R$ 580 Milhões,"R$ 2,74 Mil","0,783","0,02"
2013,3552205,Sorocaba - SP,"2,847",206 Mil,R$ 467 Milhões,"R$ 2,27 Mil","0,715","0,019"
2013,4209102,Joinville - SC,"2,616",202 Mil,R$ 428 Milhões,"R$ 2,12 Mil","0,73","0,051"
2013,3303302,Niterói - RJ,"2,006",194 Mil,R$ 454 Milhões,"R$ 2,34 Mil","0,842","0,122"
2013,1100205,Porto Velho - RO,"1,777",190 Mil,R$ 467 Milhões,"R$ 2,46 Mil","0,921","0,102"
2013,3548500,Santos - SP,"2,219",190 Mil,R$ 428 Milhões,"R$ 2,25 Mil","0,805","0,118"
2013,3525904,Jundiaí - SP,"2,77",181 Mil,R$ 435 Milhões,"R$ 2,4 Mil","0,735","0,032"
2013,4305108,Caxias do Sul - RS,"2,984",180 Mil,R$ 412 Milhões,"R$ 2,29 Mil","0,726","-0,007"
2013,3534401,Osasco - SP,"2,553",176 Mil,R$ 410 Milhões,"R$ 2,34 Mil","0,759","0,065"
2013,4113700,Londrina - PR,"2,081",175 Mil,R$ 347 Milhões,"R$ 1,98 Mil","0,677","0,159"
2013,3301702,Duque de Caxias - RJ,"2,723",173 Mil,R$ 342 Milhões,"R$ 1,98 Mil","0,795","0,052"
2013,4115200,Maringá - PR,"2,058",156 Mil,R$ 298 Milhões,"R$ 1,91 Mil","0,659","0,168"
2013,3136702,Juiz de Fora - MG,"2,147",154 Mil,R$ 254 Milhões,"R$ 1,66 Mil","0,773","0,128"
2013,3302403,Macaé - RJ,"3,257",145 Mil,R$ 751 Milhões,"R$ 5,19 Mil","0,927","0,042"
2013,3549805,São José do Rio Preto - SP,"2,085",141 Mil,R$ 281 Milhões,R$ 2 Mil,"0,69","0,154"
2013,4202404,Blumenau - SC,"2,651",136 Mil,R$ 287 Milhões,"R$ 2,1 Mil","0,691","0,056"
2013,3538709,Piracicaba - SP,"2,603",134 Mil,R$ 334 Milhões,"R$ 2,49 Mil","0,742","0,05"
2013,3205002,Serra - ES,"2,574",133 Mil,R$ 251 Milhões,"R$ 1,88 Mil","0,772","0,071"
2013,2919207,Lauro de Freitas - BA,"2,508",132 Mil,R$ 162 Milhões,"R$ 1,23 Mil","0,798","0,081"
2013,3506003,Bauru - SP,"2,158",129 Mil,R$ 262 Milhões,"R$ 2,03 Mil","0,771","0,116"
2013,2910800,Feira de Santana - BA,"1,809",125 Mil,R$ 172 Milhões,"R$ 1,38 Mil","0,73","0,187"
2013,3106705,Betim - MG,"3,338",123 Mil,R$ 348 Milhões,"R$ 2,84 Mil","0,877","0,014"
2013,3304904,São Gonçalo - RJ,"1,834",119 Mil,R$ 183 Milhões,"R$ 1,53 Mil","0,805","0,151"
2013,5201405,Aparecida de Goiânia - GO,"2,191",119 Mil,R$ 174 Milhões,"R$ 1,47 Mil","0,752","0,118"
2013,3548807,São Caetano do Sul - SP,"3,078",113 Mil,R$ 287 Milhões,"R$ 2,54 Mil","0,796","0,008"
2013,3513801,Diadema - SP,"3,446",112 Mil,R$ 270 Milhões,"R$ 2,42 Mil","0,748","-0,051"
2013,3205200,Vila Velha - ES,"1,974",110 Mil,R$ 174 Milhões,"R$ 1,58 Mil","0,756","0,16"
2013,2607901,Jaboatão Dos Guararapes - PE,"2,341",108 Mil,R$ 162 Milhões,"R$ 1,5 Mil","0,74","0,097"
2013,4216602,São José - SC,"2,181",107 Mil,R$ 177 Milhões,"R$ 1,65 Mil","0,741","0,128"
2013,3303500,Nova Iguaçu - RJ,"1,565",103 Mil,R$ 156 Milhões,"R$ 1,51 Mil","0,818","0,172"
2013,1600303,Macapá - AP,"1,718",102 Mil,R$ 282 Milhões,"R$ 2,77 Mil","0,94","0,098"
2013,1200401,Rio Branco - AC,"1,325",102 Mil,R$ 232 Milhões,"R$ 2,28 Mil","0,927","0,119"
2013,3530607,Mogi Das Cruzes - SP,"2,271",101 Mil,R$ 197 Milhões,"R$ 1,94 Mil","0,76","0,1"
2013,4104808,Cascavel - PR,"1,832",100 Mil,R$ 179 Milhões,"R$ 1,78 Mil","0,709","0,19"
2013,4125506,São José Dos Pinhais - PR,"3,135","99,6 Mil",R$ 238 Milhões,"R$ 2,39 Mil","0,752","-0,011"
2013,3301009,Campos Dos Goytacazes - RJ,"1,614","98,2 Mil",R$ 175 Milhões,"R$ 1,78 Mil","0,829","0,159"
2013,4304606,Canoas - RS,"2,675","97,8 Mil",R$ 225 Milhões,"R$ 2,3 Mil","0,798","0,051"
2013,5201108,Anápolis - GO,"2,083","96,6 Mil",R$ 165 Milhões,"R$ 1,71 Mil","0,773","0,128"
2013,2504009,Campina Grande - PB,"1,852","94,5 Mil",R$ 153 Milhões,"R$ 1,62 Mil","0,844","0,132"
2013,3516200,Franca - SP,"1,953",92 Mil,R$ 143 Milhões,"R$ 1,56 Mil","0,778","0,142"
2013,3170107,Uberaba - MG,"1,525","91,9 Mil",R$ 170 Milhões,"R$ 1,85 Mil","0,77","0,206"
2013,3526902,Limeira - SP,"2,508","89,8 Mil",R$ 186 Milhões,"R$ 2,07 Mil","0,748","0,064"
2013,3554102,Taubaté - SP,"2,76","88,5 Mil",R$ 212 Milhões,"R$ 2,4 Mil","0,819","0,042"
2013,3143302,Montes Claros - MG,"1,516","87,8 Mil",R$ 132 Milhões,"R$ 1,51 Mil","0,812","0,184"
2013,2609600,Olinda - PE,"2,205","86,9 Mil",R$ 108 Milhões,"R$ 1,24 Mil","0,812","0,114"
2013,4119905,Ponta Grossa - PR,"1,654","84,7 Mil",R$ 159 Milhões,"R$ 1,88 Mil","0,755","0,189"
2013,4313409,Novo Hamburgo - RS,"2,562","82,5 Mil",R$ 150 Milhões,"R$ 1,82 Mil","0,694","0,059"
2013,3501608,Americana - SP,"2,613","82,3 Mil",R$ 168 Milhões,"R$ 2,04 Mil","0,734","0,061"
2013,1400100,Boa Vista - RR,"1,426","81,7 Mil",R$ 195 Milhões,"R$ 2,39 Mil","0,935","0,11"
2013,4204202,Chapecó - SC,"2,044","79,7 Mil",R$ 139 Milhões,"R$ 1,75 Mil","0,771","0,133"
2013,4208203,Itajaí - SC,"2,521","78,6 Mil",R$ 172 Milhões,"R$ 2,19 Mil","0,757","0,081"
2013,4314407,Pelotas - RS,"1,692","78,3 Mil",R$ 153 Milhões,"R$ 1,95 Mil","0,814","0,165"
2013,2905701,Camaçari - BA,"3,063","77,5 Mil",R$ 222 Milhões,"R$ 2,86 Mil","0,869","0,031"
2013,3548906,São Carlos - SP,"2,442","76,9 Mil",R$ 182 Milhões,"R$ 2,36 Mil","0,8","0,079"
2013,3513009,Cotia - SP,"2,808","76,7 Mil",R$ 182 Milhões,"R$ 2,37 Mil","0,73","0,029"
2013,3503208,Araraquara - SP,"1,954","75,4 Mil",R$ 151 Milhões,"R$ 2,01 Mil","0,785","0,139"
2013,3131307,Ipatinga - MG,"1,903",75 Mil,R$ 145 Milhões,"R$ 1,94 Mil","0,871","0,115"
2013,3306305,Volta Redonda - RJ,"1,998","74,8 Mil",R$ 129 Milhões,"R$ 1,72 Mil","0,833","0,122"
2013,2604106,Caruaru - PE,"1,702","74,5 Mil","R$ 89,4 Milhões","R$ 1,2 Mil","0,77","0,183"
2013,3303906,Petrópolis - RJ,"1,886","74,1 Mil",R$ 123 Milhões,"R$ 1,65 Mil","0,788","0,147"
2013,3529401,Mauá - SP,"2,978","73,1 Mil",R$ 164 Milhões,"R$ 2,24 Mil","0,782","0,011"
2013,3520509,Indaiatuba - SP,"2,89","72,5 Mil",R$ 187 Milhões,"R$ 2,58 Mil","0,745","0,011"
2013,4208906,Jaraguá do Sul - SC,"2,738",72 Mil,R$ 163 Milhões,"R$ 2,26 Mil","0,821","0,051"
2013,2607208,Ipojuca - PE,"2,441","70,9 Mil",R$ 206 Milhões,"R$ 2,9 Mil","0,942","0,071"
2013,4316907,Santa Maria - RS,"1,835","69,2 Mil",R$ 158 Milhões,"R$ 2,28 Mil","0,857","0,132"
2013,3541406,Presidente Prudente - SP,"1,724","67,8 Mil",R$ 123 Milhões,"R$ 1,81 Mil","0,761","0,18"
2013,4204608,Criciúma - SC,"2,151","67,4 Mil",R$ 125 Milhões,"R$ 1,86 Mil","0,761","0,118"
2013,3543907,Rio Claro - SP,"2,344",67 Mil,R$ 141 Milhões,"R$ 2,1 Mil","0,787","0,087"
2013,2933307,Vitória da Conquista - BA,"1,513","66,9 Mil","R$ 92,1 Milhões","R$ 1,38 Mil","0,788","0,196"
2013,2611101,Petrolina - PE,"1,483","65,3 Mil","R$ 89,5 Milhões","R$ 1,37 Mil","0,824","0,183"
2013,3529005,Marília - SP,"1,779","64,3 Mil",R$ 123 Milhões,"R$ 1,91 Mil","0,806","0,153"
2013,3547304,Santana de Parnaíba - SP,"2,952","63,5 Mil",R$ 146 Milhões,"R$ 2,3 Mil","0,734","0,019"
2013,2408003,Mossoró - RN,"1,812","63,1 Mil",R$ 116 Milhões,"R$ 1,84 Mil","0,824","0,149"
2013,1500800,Ananindeua - PA,"1,599","62,6 Mil","R$ 86,9 Milhões","R$ 1,39 Mil","0,806","0,172"
2013,3552809,Taboão da Serra - SP,"2,556","62,2 Mil",R$ 124 Milhões,"R$ 1,99 Mil","0,775","0,065"
