Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2016,3550308,São Paulo - SP,"3,178","4,95 Milhões","R$ 18,1 Bilhões","R$ 3,66 Mil","0,614","-0,028"
2016,3304557,Rio de Janeiro - RJ,"3,314","2,38 Milhões","R$ 8,64 Bilhões","R$ 3,63 Mil","0,707","-0,017"
2016,5300108,Brasília - DF,"3,109","1,25 Milhão","R$ 6,33 Bilhões","R$ 5,06 Mil","0,938","0,056"
2016,3106200,Belo Horizonte - MG,"2,914","1,18 Milhão","R$ 4,05 Bilhões","R$ 3,44 Mil","0,83","0,051"
2016,4106902,Curitiba - PR,"3,255",883 Mil,"R$ 3,21 Bilhões","R$ 3,64 Mil","0,781",0
2016,2304400,Fortaleza - CE,"2,233",773 Mil,"R$ 1,91 Bilhão","R$ 2,47 Mil","0,812","0,115"
2016,2927408,Salvador - BA,"2,453",763 Mil,"R$ 2,38 Bilhões","R$ 3,12 Mil","0,862","0,083"
2016,4314902,Porto Alegre - RS,"2,955",721 Mil,"R$ 2,69 Bilhões","R$ 3,73 Mil","0,812","0,036"
2016,2611606,Recife - PE,"2,704",679 Mil,"R$ 1,98 Bilhão","R$ 2,92 Mil","0,836","0,071"
2016,5208707,Goiânia - GO,"2,225",582 Mil,"R$ 1,75 Bilhão","R$ 3,01 Mil","0,829","0,115"
2016,1302603,Manaus - AM,"3,304",487 Mil,"R$ 1,34 Bilhão","R$ 2,75 Mil","0,778","-0,013"
2016,3509502,Campinas - SP,"2,929",408 Mil,"R$ 1,42 Bilhão","R$ 3,49 Mil","0,682","0,02"
2016,1501402,Belém - PA,"2,32",408 Mil,"R$ 1,32 Bilhão","R$ 3,23 Mil","0,888","0,086"
2016,2111300,São Luís - MA,"2,31",331 Mil,R$ 959 Milhões,"R$ 2,89 Mil","0,881","0,087"
2016,3518800,Guarulhos - SP,"3,284",321 Mil,R$ 910 Milhões,"R$ 2,84 Mil","0,655","-0,048"
2016,2408102,Natal - RN,"2,297",300 Mil,R$ 842 Milhões,"R$ 2,81 Mil","0,899","0,085"
2016,4205407,Florianópolis - SC,"2,891",283 Mil,"R$ 1,28 Bilhão","R$ 4,52 Mil","0,916","0,059"
2016,2211001,Teresina - PI,"1,954",277 Mil,R$ 727 Milhões,"R$ 2,63 Mil","0,901","0,1"
2016,2507507,João Pessoa - PB,"2,114",276 Mil,R$ 691 Milhões,"R$ 2,5 Mil","0,905","0,089"
2016,5002704,Campo Grande - MS,"2,093",265 Mil,R$ 864 Milhões,"R$ 3,26 Mil","0,865","0,11"
2016,2704302,Maceió - AL,"2,057",256 Mil,R$ 621 Milhões,"R$ 2,42 Mil","0,889","0,1"
2016,3505708,Barueri - SP,"3,319",255 Mil,R$ 980 Milhões,"R$ 3,85 Mil","0,728","-0,021"
2016,3548708,São Bernardo do Campo - SP,"3,314",252 Mil,R$ 868 Milhões,"R$ 3,44 Mil","0,752","-0,015"
2016,5103403,Cuiabá - MT,"2,307",235 Mil,R$ 868 Milhões,"R$ 3,7 Mil","0,894","0,088"
2016,3543402,Ribeirão Preto - SP,"2,25",223 Mil,R$ 588 Milhões,"R$ 2,64 Mil","0,698","0,131"
2016,2800308,Aracaju - SE,"2,552",218 Mil,R$ 589 Milhões,"R$ 2,7 Mil","0,894","0,077"
2016,3205309,Vitoria - ES,"2,825",212 Mil,R$ 808 Milhões,"R$ 3,8 Mil","0,893","0,057"
2016,3170206,Uberlândia - MG,"1,968",209 Mil,R$ 498 Milhões,"R$ 2,38 Mil","0,73","0,17"
2016,3547809,Santo André - SP,"2,662",195 Mil,R$ 515 Milhões,"R$ 2,64 Mil","0,746","0,059"
2016,3549904,São José Dos Campos - SP,"2,899",192 Mil,R$ 639 Milhões,"R$ 3,32 Mil","0,8","0,037"
2016,4209102,Joinville - SC,"2,703",192 Mil,R$ 501 Milhões,"R$ 2,61 Mil","0,721","0,045"
2016,3552205,Sorocaba - SP,"2,852",191 Mil,R$ 540 Milhões,"R$ 2,82 Mil","0,709","0,026"
2016,3118601,Contagem - MG,"2,812",185 Mil,R$ 417 Milhões,"R$ 2,26 Mil","0,692","0,041"
2016,3303302,Niterói - RJ,"2,185",177 Mil,R$ 512 Milhões,"R$ 2,9 Mil","0,85","0,103"
2016,3548500,Santos - SP,"2,322",175 Mil,R$ 508 Milhões,"R$ 2,91 Mil","0,808","0,106"
2016,4113700,Londrina - PR,"2,066",168 Mil,R$ 430 Milhões,"R$ 2,56 Mil","0,692","0,157"
2016,3525904,Jundiaí - SP,"2,734",166 Mil,R$ 506 Milhões,"R$ 3,05 Mil","0,716","0,047"
2016,1100205,Porto Velho - RO,"1,845",164 Mil,R$ 512 Milhões,"R$ 3,12 Mil","0,923","0,099"
2016,3534401,Osasco - SP,"2,693",160 Mil,R$ 472 Milhões,"R$ 2,95 Mil","0,758","0,054"
2016,3301702,Duque de Caxias - RJ,"2,678",157 Mil,R$ 394 Milhões,"R$ 2,51 Mil","0,786","0,064"
