Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2018,3550308,São Paulo - SP,"3,256","4,9 Milhões","R$ 19,3 Bilhões","R$ 3,93 Mil","0,626","-0,035"
2018,3304557,Rio de Janeiro - RJ,"3,272","2,27 Milhões","R$ 8,93 Bilhões","R$ 3,94 Mil","0,734","-0,002"
2018,5300108,Brasília - DF,"3,084","1,19 Milhão","R$ 6,33 Bilhões","R$ 5,31 Mil","0,935","0,054"
2018,3106200,Belo Horizonte - MG,"2,792","1,18 Milhão","R$ 4,23 Bilhões","R$ 3,59 Mil","0,836","0,063"
2018,4106902,Curitiba - PR,"3,313",884 Mil,"R$ 3,49 Bilhões","R$ 3,95 Mil","0,772","-0,005"
2018,2927408,Salvador - BA,"2,542",770 Mil,"R$ 2,61 Bilhões","R$ 3,38 Mil","0,874","0,074"
2018,2304400,Fortaleza - CE,"2,373",768 Mil,"R$ 2,11 Bilhões","R$ 2,74 Mil","0,817","0,097"
2018,4314902,Porto Alegre - RS,"3,162",690 Mil,"R$ 2,82 Bilhões","R$ 4,09 Mil","0,831","0,021"
2018,2611606,Recife - PE,"2,78",656 Mil,"R$ 2,17 Bilhões","R$ 3,31 Mil","0,839","0,063"
2018,5208707,Goiânia - GO,"2,101",591 Mil,"R$ 1,97 Bilhão","R$ 3,34 Mil","0,838","0,119"
2018,1302603,Manaus - AM,"3,266",488 Mil,"R$ 1,49 Bilhão","R$ 3,05 Mil","0,785","-0,004"
2018,1501402,Belém - PA,"2,396",409 Mil,"R$ 1,46 Bilhão","R$ 3,56 Mil","0,885","0,082"
2018,3509502,Campinas - SP,"3,018",407 Mil,"R$ 1,5 Bilhão","R$ 3,7 Mil","0,687","0,009"
2018,2111300,São Luís - MA,"2,656",340 Mil,"R$ 1,08 Bilhão","R$ 3,17 Mil","0,894","0,064"
2018,3518800,Guarulhos - SP,"3,389",330 Mil,"R$ 1,07 Bilhão","R$ 3,25 Mil","0,683","-0,055"
2018,2408102,Natal - RN,"2,188",296 Mil,R$ 913 Milhões,"R$ 3,08 Mil","0,891","0,092"
2018,4205407,Florianópolis - SC,"2,918",279 Mil,"R$ 1,36 Bilhão","R$ 4,88 Mil","0,9","0,047"
2018,2211001,Teresina - PI,"2,087",276 Mil,R$ 790 Milhões,"R$ 2,86 Mil","0,884","0,096"
2018,5002704,Campo Grande - MS,"2,081",271 Mil,R$ 975 Milhões,"R$ 3,6 Mil","0,885","0,099"
2018,2507507,João Pessoa - PB,"2,255",265 Mil,R$ 737 Milhões,"R$ 2,78 Mil","0,897","0,084"
2018,3505708,Barueri - SP,"3,449",251 Mil,"R$ 1,01 Bilhão",R$ 4 Mil,"0,73","-0,037"
2018,2704302,Maceió - AL,"2,319",248 Mil,R$ 687 Milhões,"R$ 2,77 Mil","0,87","0,092"
2018,3548708,São Bernardo do Campo - SP,"3,508",248 Mil,R$ 898 Milhões,"R$ 3,63 Mil","0,756","-0,038"
2018,5103403,Cuiabá - MT,"2,358",245 Mil,"R$ 1,01 Bilhão","R$ 4,12 Mil","0,896","0,08"
2018,3543402,Ribeirão Preto - SP,"2,229",230 Mil,R$ 646 Milhões,"R$ 2,81 Mil","0,689","0,133"
2018,3205309,Vitoria - ES,"2,894",216 Mil,R$ 890 Milhões,"R$ 4,13 Mil","0,896","0,055"
2018,2800308,Aracaju - SE,"2,302",214 Mil,R$ 646 Milhões,"R$ 3,01 Mil","0,898","0,086"
2018,4209102,Joinville - SC,"2,936",213 Mil,R$ 603 Milhões,"R$ 2,83 Mil","0,735","0,016"
2018,3170206,Uberlândia - MG,"1,901",210 Mil,R$ 542 Milhões,"R$ 2,58 Mil","0,743","0,168"
2018,3547809,Santo André - SP,"2,599",205 Mil,R$ 570 Milhões,"R$ 2,77 Mil","0,755","0,062"
2018,3552205,Sorocaba - SP,"2,892",194 Mil,R$ 587 Milhões,"R$ 3,03 Mil","0,711","0,018"
2018,3118601,Contagem - MG,"2,811",187 Mil,R$ 457 Milhões,"R$ 2,44 Mil","0,702","0,041"
2018,3549904,São José Dos Campos - SP,"2,804",186 Mil,R$ 658 Milhões,"R$ 3,53 Mil","0,787","0,042"
2018,3548500,Santos - SP,"2,297",178 Mil,R$ 557 Milhões,"R$ 3,12 Mil","0,835","0,099"
2018,3303302,Niterói - RJ,"2,068",170 Mil,R$ 537 Milhões,"R$ 3,16 Mil","0,846","0,11"
2018,3525904,Jundiaí - SP,"2,757",165 Mil,R$ 540 Milhões,"R$ 3,27 Mil","0,704","0,043"
2018,4113700,Londrina - PR,"2,129",163 Mil,R$ 456 Milhões,"R$ 2,79 Mil","0,663","0,153"
2018,4115200,Maringá - PR,"2,26",158 Mil,R$ 420 Milhões,"R$ 2,65 Mil","0,651","0,13"
2018,3534401,Osasco - SP,"2,585",158 Mil,R$ 495 Milhões,"R$ 3,12 Mil","0,751","0,064"
2018,1100205,Porto Velho - RO,"1,925",158 Mil,R$ 528 Milhões,"R$ 3,34 Mil","0,92","0,093"
2018,4305108,Caxias do Sul - RS,"3,099",157 Mil,R$ 485 Milhões,"R$ 3,08 Mil","0,722","-0,014"
2018,3301702,Duque de Caxias - RJ,"2,777",146 Mil,R$ 398 Milhões,"R$ 2,72 Mil","0,785","0,052"
