Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2017,3550308,São Paulo - SP,"3,2","4,87 Milhões","R$ 18,6 Bilhões","R$ 3,82 Mil","0,616","-0,028"
2017,3304557,Rio de Janeiro - RJ,"3,244","2,3 Milhões","R$ 8,77 Bilhões","R$ 3,81 Mil","0,721","0,001"
2017,5300108,Brasília - DF,"3,081","1,25 Milhão","R$ 6,43 Bilhões","R$ 5,16 Mil","0,934","0,054"
2017,3106200,Belo Horizonte - MG,"2,78","1,18 Milhão","R$ 4,19 Bilhões","R$ 3,56 Mil","0,824","0,063"
2017,4106902,Curitiba - PR,"3,422",863 Mil,"R$ 3,38 Bilhões","R$ 3,92 Mil","0,783","-0,018"
2017,2304400,Fortaleza - CE,"2,328",773 Mil,"R$ 1,99 Bilhão","R$ 2,57 Mil","0,82","0,102"
2017,2927408,Salvador - BA,"2,516",767 Mil,"R$ 2,59 Bilhões","R$ 3,37 Mil","0,862","0,079"
2017,4314902,Porto Alegre - RS,3,700 Mil,"R$ 2,74 Bilhões","R$ 3,92 Mil","0,823","0,031"
2017,2611606,Recife - PE,"2,724",662 Mil,"R$ 2,07 Bilhões","R$ 3,12 Mil","0,833","0,067"
2017,5208707,Goiânia - GO,"2,114",602 Mil,"R$ 1,85 Bilhão","R$ 3,07 Mil","0,825","0,124"
2017,1302603,Manaus - AM,"3,309",485 Mil,"R$ 1,41 Bilhão","R$ 2,9 Mil","0,773","-0,014"
2017,3509502,Campinas - SP,"2,858",405 Mil,"R$ 1,46 Bilhão","R$ 3,6 Mil","0,692","0,033"
2017,1501402,Belém - PA,"2,44",398 Mil,"R$ 1,31 Bilhão","R$ 3,29 Mil","0,88","0,08"
2017,2111300,São Luís - MA,"2,394",330 Mil,R$ 993 Milhões,"R$ 3,01 Mil","0,887","0,08"
2017,3518800,Guarulhos - SP,"3,307",320 Mil,R$ 970 Milhões,"R$ 3,03 Mil","0,678","-0,044"
2017,2408102,Natal - RN,"2,269",296 Mil,R$ 865 Milhões,"R$ 2,93 Mil","0,884","0,09"
2017,2211001,Teresina - PI,"1,975",279 Mil,R$ 768 Milhões,"R$ 2,76 Mil","0,89","0,103"
2017,4205407,Florianópolis - SC,"3,034",278 Mil,"R$ 1,34 Bilhão","R$ 4,82 Mil","0,913","0,047"
2017,2507507,João Pessoa - PB,"2,173",268 Mil,R$ 717 Milhões,"R$ 2,67 Mil","0,898","0,087"
