Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2021,3550308,São Paulo - SP,"3,246","5,07 Milhões","R$ 23,9 Bilhões","R$ 4,71 Mil","0,668","-0,028"
2021,3304557,Rio de Janeiro - RJ,"3,205","2,11 Milhões","R$ 9,64 Bilhões","R$ 4,57 Mil","0,753","-0,001"
2021,3106200,Belo Horizonte - MG,"2,544","1,24 Milhão","R$ 5,23 Bilhões","R$ 4,21 Mil","0,84","0,077"
2021,5300108,Brasília - DF,"3,046","1,08 Milhão","R$ 6,25 Bilhões","R$ 5,76 Mil","0,926","0,049"
2021,4106902,Curitiba - PR,"3,133",905 Mil,"R$ 3,82 Bilhões","R$ 4,22 Mil","0,774","0,003"
2021,2304400,Fortaleza - CE,"2,202",764 Mil,"R$ 1,93 Bilhão","R$ 2,52 Mil","0,777","0,119"
2021,2927408,Salvador - BA,"2,617",744 Mil,"R$ 2,64 Bilhões","R$ 3,55 Mil","0,865","0,068"
2021,2611606,Recife - PE,"2,79",669 Mil,"R$ 2,42 Bilhões","R$ 3,61 Mil","0,834","0,058"
2021,4314902,Porto Alegre - RS,"3,055",657 Mil,"R$ 2,98 Bilhões","R$ 4,54 Mil","0,835","0,025"
2021,5208707,Goiânia - GO,"2,132",582 Mil,"R$ 2,19 Bilhões","R$ 3,76 Mil","0,828","0,111"
2021,1302603,Manaus - AM,"3,329",532 Mil,"R$ 1,75 Bilhão","R$ 3,29 Mil","0,803","-0,015"
2021,3509502,Campinas - SP,"3,028",411 Mil,"R$ 1,73 Bilhão","R$ 4,22 Mil","0,711","0,001"
2021,1501402,Belém - PA,"2,359",405 Mil,"R$ 1,55 Bilhão","R$ 3,82 Mil","0,88","0,081"
2021,2111300,São Luís - MA,"2,692",361 Mil,"R$ 1,21 Bilhão","R$ 3,34 Mil","0,899","0,057"
2021,3518800,Guarulhos - SP,"3,239",342 Mil,"R$ 1,14 Bilhão","R$ 3,33 Mil","0,658","-0,055"
2021,3505708,Barueri - SP,"3,281",318 Mil,"R$ 1,34 Bilhão","R$ 4,22 Mil","0,76","-0,018"
2021,2408102,Natal - RN,"2,024",291 Mil,"R$ 1,01 Bilhão","R$ 3,48 Mil","0,9","0,095"
2021,5002704,Campo Grande - MS,"2,044",289 Mil,"R$ 1,12 Bilhão","R$ 3,87 Mil","0,87","0,106"
2021,4205407,Florianópolis - SC,"2,588",288 Mil,"R$ 1,5 Bilhão","R$ 5,19 Mil","0,901","0,061"
2021,2507507,João Pessoa - PB,"2,063",285 Mil,R$ 877 Milhões,"R$ 3,08 Mil","0,905","0,089"
2021,2211001,Teresina - PI,"1,889",264 Mil,R$ 755 Milhões,"R$ 2,86 Mil","0,862","0,114"
2021,3548708,São Bernardo do Campo - SP,"3,218",263 Mil,R$ 970 Milhões,"R$ 3,7 Mil","0,742","-0,019"
2021,2704302,Maceió - AL,"2,217",260 Mil,R$ 775 Milhões,"R$ 2,98 Mil","0,862","0,094"
2021,5103403,Cuiabá - MT,"2,067",250 Mil,"R$ 1,12 Bilhão","R$ 4,49 Mil","0,89","0,095"
2021,3543402,Ribeirão Preto - SP,"2,141",233 Mil,R$ 722 Milhões,"R$ 3,1 Mil","0,67","0,144"
2021,3170206,Uberlândia - MG,"1,898",230 Mil,R$ 664 Milhões,"R$ 2,88 Mil","0,75","0,165"
2021,4209102,Joinville - SC,"2,896",223 Mil,R$ 700 Milhões,"R$ 3,14 Mil","0,73","0,009"
2021,2800308,Aracaju - SE,"2,144",215 Mil,R$ 646 Milhões,R$ 3 Mil,"0,886","0,095"
2021,3205309,Vitoria - ES,"2,671",210 Mil,R$ 924 Milhões,"R$ 4,4 Mil","0,887","0,06"
2021,3552205,Sorocaba - SP,"2,834",205 Mil,R$ 689 Milhões,"R$ 3,36 Mil","0,713","0,016"
2021,3547809,Santo André - SP,"2,456",203 Mil,R$ 624 Milhões,"R$ 3,07 Mil","0,766","0,073"
2021,3118601,Contagem - MG,"2,692",203 Mil,R$ 542 Milhões,"R$ 2,67 Mil","0,685","0,05"
2021,3549904,São José Dos Campos - SP,"2,724",184 Mil,R$ 692 Milhões,"R$ 3,75 Mil","0,766","0,047"
2021,3534401,Osasco - SP,"2,78",182 Mil,R$ 715 Milhões,"R$ 3,92 Mil","0,799","0,037"
2021,3525904,Jundiaí - SP,"2,64",177 Mil,R$ 635 Milhões,"R$ 3,59 Mil","0,719","0,052"
2021,3303302,Niterói - RJ,"2,125",174 Mil,R$ 599 Milhões,"R$ 3,43 Mil","0,857","0,098"
2021,3548500,Santos - SP,"2,139",173 Mil,R$ 587 Milhões,"R$ 3,4 Mil","0,817","0,11"
2021,4115200,Maringá - PR,"2,319",165 Mil,R$ 492 Milhões,"R$ 2,98 Mil","0,667","0,111"
