ano,popul,codigo_ibge
2019,4348,220410
2020,4323,220410
2021,4300,220410
2022,4407,220410
1996,,220415
1997,2110,220415
1998,2104,220415
1999,2099,220415
2000,2337,220415
2001,2363,220415
2002,2383,220415
2003,2405,220415
2004,2450,220415
2005,2475,220415
2006,2500,220415
2007,2255,220415
2008,2319,220415
2009,2315,220415
2010,2879,220415
2011,2921,220415
2012,2961,220415
2013,2984,220415
2014,3078,220415
2015,3097,220415
2016,3113,220415
2017,3128,220415
2018,3166,220415
2019,3184,220415
2020,3200,220415
2021,3216,220415
2022,2921,220415
1991,7049,220420
1992,7140,220420
1993,7311,220420
1994,7430,220420
1995,7545,220420
1996,6481,220420
1997,6374,220420
1998,6283,220420
1999,6193,220420
2000,7043,220420
2001,7041,220420
2002,7042,220420
2003,7041,220420
2004,7040,220420
2005,7039,220420
2006,7039,220420
2007,8293,220420
2008,8533,220420
2009,8315,220420
2010,8592,220420
2011,8726,220420
2012,8857,220420
2013,8924,220420
2014,8993,220420
2015,9054,220420
2016,9108,220420
2017,9154,220420
2018,9262,220420
2019,9319,220420
2020,9372,220420
2021,9423,220420
2022,8257,220420
1991,14783,220430
1992,9351,220430
1993,9378,220430
1994,9396,220430
1995,9413,220430
1996,9554,220430
1997,9628,220430
1998,9691,220430
1999,9754,220430
2000,10012,220430
2001,10090,220430
2002,10154,220430
2003,10220,220430
2004,10358,220430
2005,10435,220430
2006,10511,220430
2007,11054,220430
2008,11373,220430
2009,11502,220430
2010,11117,220430
2011,11202,220430
2012,11284,220430
2013,11368,220430
2014,11411,220430
2015,11372,220430
2016,11405,220430
2017,11432,220430
2018,11590,220430
2019,11625,220430
2020,11659,220430
2021,11690,220430
2022,10293,220430
1996,,220435
1997,4395,220435
1998,4423,220435
1999,4450,220435
2000,4790,220435
2001,4854,220435
2002,4902,220435
2003,4954,220435
2004,5063,220435
2005,5124,220435
2006,5184,220435
2007,5255,220435
2008,5406,220435
2009,5465,220435
2010,5475,220435
2011,5193,220435
2012,5237,220435
2013,5276,220435
2014,5298,220435
2015,5319,220435
2016,5337,220435
2017,5352,220435
2018,5424,220435
2019,5442,220435
2020,5460,220435
2021,5477,220435
2022,5447,220435
1991,9972,220440
1992,10049,220440
1993,10210,220440
1994,10318,220440
1995,10423,220440
1996,11335,220440
1997,10344,220440
1998,10491,220440
1999,10637,220440
2000,10229,220440
2001,10378,220440
2002,10498,220440
2003,10623,220440
2004,10886,220440
2005,11031,220440
2006,11175,220440
2007,10351,220440
2008,10648,220440
2009,10681,220440
2010,10402,220440
2011,10415,220440
2012,10429,220440
2013,10504,220440
2014,10509,220440
2015,10514,220440
2016,10518,220440
2017,10522,220440
2018,10686,220440
2019,10690,220440
2020,10694,220440
2021,10698,220440
2022,10926,220440
1991,9603,220450
1992,9676,220450
1993,9751,220450
1994,9819,220450
1995,9884,220450
1996,10370,220450
1997,10371,220450
1998,10518,220450
1999,10664,220450
2000,10308,220450
2001,10401,220450
2002,10490,220450
2003,10574,220450
2004,10751,220450
2005,10849,220450
2006,10911,220450
2007,9587,220450
2008,9860,220450
2009,9809,220450
2010,10268,220450
2011,10268,220450
2012,10268,220450
2013,10342,220450
2014,10340,220450
2015,10338,220450
2016,10337,220450
2017,10335,220450
2018,10500,220450
2019,10499,220450
2020,10497,220450
2021,10496,220450
2022,10305,220450
1996,,220455
1997,4549,220455
1998,4613,220455
1999,4677,220455
2000,4814,220455
2001,4260,220455
2002,4306,220455
2003,4356,220455
2004,4460,220455
2005,4519,220455
2006,4576,220455
2007,4343,220455
2008,4468,220455
2009,4491,220455
2010,4401,220455
2011,4417,220455
2012,4432,220455
2013,4464,220455
2014,4472,220455
2015,4478,220455
2016,4484,220455
2017,4489,220455
2018,4556,220455
2019,4562,220455
2020,4568,220455
2021,4573,220455
2022,4281,220455
1991,3633,220460
1992,3684,220460
1993,3768,220460
1994,3829,220460
1995,3889,220460
1996,3578,220460
1997,3568,220460
1998,3559,220460
1999,3550,220460
2000,3703,220460
2001,3714,220460
2002,3718,220460
2003,3725,220460
2004,3739,220460
2005,3747,220460
2006,3755,220460
2007,3674,220460
2008,3779,220460
2009,3784,220460
2010,3771,220460
2011,3776,220460
2012,3782,220460
2013,3809,220460
2014,3811,220460
2015,3813,220460
2016,3815,220460
2017,3816,220460
2018,3875,220460
2019,3877,220460
2020,3879,220460
2021,3880,220460
2022,3526,220460
1996,,220465
1997,7419,220465
1998,7514,220465
1999,7610,220465
2000,7890,220465
2001,8018,220465
2002,8108,220465
2003,8209,220465
2004,8422,220465
2005,8539,220465
2006,8656,220465
2007,8420,220465
2008,8663,220465
2009,8734,220465
2010,8914,220465
2011,8993,220465
2012,9069,220465
2013,9136,220465
2014,9176,220465
2015,9211,220465
2016,9242,220465
2017,9268,220465
2018,9394,220465
2019,9426,220465
2020,9457,220465
2021,9487,220465
2022,9207,220465
1991,13174,220470
1992,13302,220470
1993,13501,220470
1994,13650,220470
1995,13794,220470
1996,13674,220470
1997,13780,220470
1998,13870,220470
1999,13960,220470
2000,14426,220470
2001,14568,220470
2002,14689,220470
2003,14812,220470
2004,15068,220470
2005,15210,220470
2006,15351,220470
2007,14973,220470
2008,15403,220470
2009,15490,220470
2010,14845,220470
2011,14877,220470
2012,14909,220470
2013,15017,220470
2014,15032,220470
2015,15044,220470
2016,15056,220470
2017,15065,220470
2018,15296,220470
2019,15308,220470
2020,15319,220470
2021,15330,220470
2022,14803,220470
1991,7526,220480
1992,7618,220480
1993,7804,220480
1994,7931,220480
1995,8055,220480
1996,8110,220480
1997,8248,220480
1998,8364,220480
1999,8480,220480
2000,8428,220480
2001,8528,220480
2002,8618,220480
2003,8706,220480
2004,8891,220480
2005,8994,220480
2006,9095,220480
2007,9354,220480
2008,9624,220480
2009,9739,220480
2010,9327,220480
2011,9396,220480
2012,9463,220480
2013,9534,220480
2014,9569,220480
2015,9599,220480
2016,9626,220480
2017,9649,220480
2018,9782,220480
2019,9811,220480
2020,9838,220480
2021,9863,220480
2022,9275,220480
1991,7638,220490
1992,7664,220490
1993,7755,220490
1994,7809,220490
1995,7861,220490
1996,7412,220490
1997,7290,220490
1998,7186,220490
1999,7083,220490
2000,7658,220490
2001,7662,220490
2002,7662,220490
2003,7664,220490
2004,7669,220490
2005,7671,220490
2006,7674,220490
2007,7790,220490
2008,8014,220490
2009,8043,220490
2010,8221,220490
2011,8264,220490
2012,8307,220490
2013,8368,220490
2014,8389,220490
2015,8408,220490
2016,8424,220490
2017,8428,220490
2018,8551,220490
2019,8549,220490
2020,8566,220490
2021,8582,220490
2022,7782,220490
1991,13507,220500
1992,13545,220500
1993,13564,220500
1994,13591,220500
1995,13617,220500
1996,12966,220500
1997,10127,220500
1998,9981,220500
1999,9840,220500
2000,10381,220500
2001,10349,220500
2002,10310,220500
2003,10277,220500
2004,10208,220500
2005,10170,220500
2006,10132,220500
2007,11084,220500
2008,11403,220500
2009,11498,220500
2010,11109,220500
2011,11165,220500
2012,11219,220500
2013,11302,220500
2014,11330,220500
2015,11354,220500
2016,11375,220500
2017,11343,220500
2018,11507,220500
2019,11530,220500
2020,11551,220500
2021,11571,220500
2022,10614,220500
1991,11008,220510
1992,11071,220510
1993,11171,220510
1994,11245,220510
1995,11317,220510
1996,10088,220510
1997,10017,220510
1998,9786,220510
1999,9648,220510
2000,10347,220510
2001,10263,220510
2002,10208,220510
2003,10143,220510
2004,10007,220510
2005,9932,220510
2006,9858,220510
2007,10558,220510
2008,10861,220510
2009,10904,220510
2010,10678,220510
2011,10703,220510
2012,10728,220510
2013,10806,220510
2014,10818,220510
2015,10828,220510
2016,10837,220510
2017,10845,220510
2018,11010,220510
2019,11019,220510
2020,11028,220510
2021,11037,220510
2022,9939,220510
1992,5680,220515
1993,5764,220515
1994,5824,220515
1995,5884,220515
1996,5012,220515
1997,4881,220515
1998,4770,220515
1999,4660,220515
2000,5690,220515
2001,5713,220515
2002,5702,220515
2003,5708,220515
2004,5694,220515
2005,5700,220515
2006,5707,220515
2007,5597,220515
2008,5774,220515
2009,5831,220515
2010,5722,220515
2011,5696,220515
2012,5670,220515
2013,5710,220515
2014,5695,220515
2015,5682,220515
2016,5671,220515
2017,5656,220515
2018,5753,220515
2019,5741,220515
2020,5729,220515
2021,5718,220515
2022,5630,220515
1991,28731,220520
1992,23525,220520
1993,23882,220520
1994,24132,220520
1995,24375,220520
1996,24363,220520
1997,14676,220520
1998,14767,220520
1999,14858,220520
2000,15859,220520
2001,16089,220520
2002,16260,220520
2003,16446,220520
2004,16837,220520
2005,17054,220520
2006,17268,220520
2007,16826,220520
2008,17310,220520
2009,17786,220520
2010,18035,220520
2011,18202,220520
2012,18364,220520
2013,18501,220520
2014,18585,220520
2015,18660,220520
2016,18725,220520
2017,18782,220520
2018,19035,220520
2019,19104,220520
2020,19170,220520
2021,19233,220520
2022,17408,220520
1992,4137,220525
1993,4211,220525
1994,4267,220525
1995,4321,220525
1996,4190,220525
1997,4218,220525
1998,4241,220525
1999,4265,220525
2000,3990,220525
2001,3940,220525
2002,3969,220525
2003,3959,220525
2004,3939,220525
2005,3927,220525
2006,3916,220525
2007,4171,220525
2008,4291,220525
2009,4318,220525
2010,4309,220525
2011,4333,220525
2012,4358,220525
2013,4389,220525
2014,4402,220525
2015,4412,220525
2016,4422,220525
2017,4430,220525
2018,4494,220525
2019,4504,220525
2020,4513,220525
2021,4522,220525
2022,4178,220525
1996,,220527
1997,3638,220527
1998,3591,220527
1999,3545,220527
2000,4314,220527
2001,4321,220527
2002,4388,220527
2003,4423,220527
2004,4495,220527
2005,4535,220527
2006,4575,220527
2007,4523,220527
2008,4653,220527
2009,4683,220527
2010,4656,220527
2011,4682,220527
2012,4708,220527
2013,4743,220527
2014,4756,220527
2015,4767,220527
2016,4777,220527
2017,4786,220527
2018,4855,220527
2019,4865,220527
2020,4875,220527
2021,4885,220527
2022,4495,220527
1991,8143,220530
1992,4094,220530
1993,4106,220530
1994,4117,220530
1995,4127,220530
1996,4405,220530
1997,4507,220530
1998,4593,220530
1999,4678,220530
2000,4515,220530
2001,4557,220530
2002,4606,220530
2003,4648,220530
2004,4737,220530
2005,4786,220530
2006,4835,220530
2007,4371,220530
2008,4496,220530
2009,4490,220530
2010,4390,220530
2011,4380,220530
2012,4372,220530
2013,4403,220530
2014,4397,220530
2015,4392,220530
2016,4388,220530
2017,4384,220530
2018,4457,220530
2019,4452,220530
2020,4447,220530
2021,4443,220530
2022,4435,220530
1996,,220535
1997,2748,220535
1998,2740,220535
1999,2733,220535
2000,3025,220535
2001,2947,220535
2002,3070,220535
2003,3090,220535
2004,3134,220535
2005,3158,220535
2006,3182,220535
2007,3199,220535
2008,3291,220535
2009,3315,220535
2010,2960,220535
2011,2955,220535
2012,2951,220535
2013,2971,220535
2014,2968,220535
2015,2965,220535
2016,2963,220535
2017,2961,220535
2018,3010,220535
2019,3008,220535
2020,3005,220535
2021,3003,220535
2022,2971,220535
1991,14630,220540
1992,14634,220540
1993,14692,220540
1994,14721,220540
1995,14749,220540
1996,15115,220540
1997,13297,220540
1998,13380,220540
1999,13463,220540
2000,13076,220540
2001,13113,220540
2002,13139,220540
2003,13169,220540
2004,13230,220540
2005,13265,220540
2006,13298,220540
2007,13779,220540
2008,14175,220540
2009,14276,220540
2010,13817,220540
2011,13874,220540
2012,13929,220540
2013,14032,220540
2014,14059,220540
2015,14083,220540
2016,14105,220540
2017,14123,220540
2018,14332,220540
2019,14354,220540
2020,14376,220540
2021,14396,220540
2022,13893,220540
1996,,220545
1997,4089,220545
1998,4097,220545
1999,4105,220545
2000,4349,220545
2001,4383,220545
2002,4407,220545
2003,4434,220545
2004,4491,220545
2005,4523,220545
2006,4554,220545
2007,5345,220545
2008,5500,220545
2009,5614,220545
2010,5100,220545
2011,5158,220545
2012,5214,220545
2013,5253,220545
2014,5282,220545
2015,5308,220545
2016,5331,220545
2017,5350,220545
2018,5419,220545
2019,5443,220545
2020,5466,220545
2021,5488,220545
2022,5390,220545
1991,29452,220550
1992,29728,220550
1993,30143,220550
1994,30458,220550
1995,30765,220550
1996,29440,220550
1997,29350,220550
1998,29274,220550
1999,29198,220550
2000,32858,220550
2001,33235,220550
2002,33575,220550
2003,33908,220550
2004,34606,220550
2005,34993,220550
2006,35376,220550
2007,35164,220550
2008,36177,220550
2009,36485,220550
2010,37085,220550
2011,37409,220550
2012,37724,220550
2013,38005,220550
2014,38169,220550
2015,38314,220550
2016,38440,220550
2017,38550,220550
2018,39072,220550
2019,39208,220550
2020,39336,220550
2021,39457,220550
2022,42575,220550
1996,,220551
1997,4712,220551
1998,4721,220551
1999,4730,220551
2000,4523,220551
2001,4477,220551
2002,4498,220551
2003,4486,220551
2004,4462,220551
2005,4448,220551
2006,4435,220551
2007,4769,220551
2008,4906,220551
2009,4941,220551
2010,4757,220551
2011,4775,220551
2012,4793,220551
2013,4828,220551
2014,4837,220551
2015,5380,220551
2016,5385,220551
2017,5391,220551
2018,5472,220551
2019,5478,220551
2020,5485,220551
2021,5491,220551
2022,5215,220551
1996,,220552
1997,4314,220552
1998,4342,220552
1999,4371,220552
2000,4866,220552
2001,4947,220552
2002,5005,220552
2003,5070,220552
2004,5280,220552
2005,5356,220552
2006,5431,220552
2007,5250,220552
2008,5401,220552
2009,5444,220552
2010,5373,220552
2011,5407,220552
2012,5439,220552
2013,5479,220552
2014,5496,220552
2015,5510,220552
2016,5523,220552
2017,5534,220552
2018,5614,220552
2019,5627,220552
2020,5640,220552
2021,5653,220552
2022,5388,220552
1996,,220553
1997,4019,220553
1998,4049,220553
1999,4079,220553
2000,4047,220553
2001,4060,220553
2002,4077,220553
2003,4091,220553
2004,4121,220553
2005,4137,220553
2006,4153,220553
2007,4388,220553
2008,4515,220553
2009,4559,220553
2010,4517,220553
2011,4553,220553
2012,4588,220553
2013,4623,220553
2014,4641,220553
2015,4657,220553
2016,4671,220553
2017,4683,220553
2018,4748,220553
2019,4763,220553
2020,4777,220553
2021,4790,220553
2022,4426,220553
1996,,220554
1997,2284,220554
1998,2318,220554
1999,2351,220554
2000,2231,220554
2001,2245,220554
2002,2252,220554
2003,2261,220554
2004,2282,220554
2005,2293,220554
2006,2304,220554
2007,2563,220554
2008,2637,220554
2009,2676,220554
2010,2656,220554
2011,2689,220554
2012,2721,220554
2013,2741,220554
2014,2757,220554
2015,2772,220554
2016,2785,220554
2017,2796,220554
2018,2831,220554
2019,2845,220554
2020,2858,220554
2021,2870,220554
2022,2934,220554
1992,5391,220555
1993,5424,220555
1994,5425,220555
1995,5429,220555
1996,6337,220555
1997,6561,220555
1998,6751,220555
1999,6940,220555
2000,6849,220555
2001,7025,220555
2002,7149,220555
2003,7289,220555
2004,7582,220555
2005,7744,220555
2006,7904,220555
2007,7862,220555
2008,8090,220555
2009,8210,220555
2010,8008,220555
2011,8097,220555
2012,8184,220555
2013,8245,220555
2014,8290,220555
2015,8330,220555
2016,8365,220555
2017,8395,220555
2018,8504,220555
2019,8542,220555
2020,8577,220555
2021,8610,220555
2022,8263,220555
1992,4190,220556
1993,4222,220556
1994,4248,220556
1995,4273,220556
1996,5336,220556
1997,4756,220556
1998,4893,220556
1999,5030,220556
2000,4450,220556
2001,4545,220556
2002,4632,220556
2003,4716,220556
2004,4893,220556
2005,4991,220556
2006,5088,220556
2007,4543,220556
2008,4673,220556
2009,4692,220556
2010,4523,220556
2011,4529,220556
2012,4535,220556
2013,4568,220556
2014,4570,220556
2015,4579,220556
2016,4580,220556
2017,4582,220556
2018,4653,220556
2019,4655,220556
2020,4656,220556
2021,4658,220556
2022,4997,220556
1996,,220557
1997,5142,220557
1998,5174,220557
1999,5451,220557
2000,5795,220557
2001,5869,220557
2002,5917,220557
2003,5974,220557
2004,6094,220557
2005,6160,220557
2006,6225,220557
2007,6520,220557
2008,6708,220557
2009,6796,220557
2010,6422,220557
2011,6470,220557
2012,6517,220557
2013,6566,220557
2014,6590,220557
2015,6611,220557
2016,6630,220557
2017,6646,220557
2018,6738,220557
2019,6758,220557
2020,6777,220557
2021,6795,220557
2022,6329,220557
1996,,220558
1997,2956,220558
1998,2980,220558
1999,3005,220558
2000,3488,220558
2001,3573,220558
2002,3635,220558
2003,3704,220558
2004,3847,220558
2005,3927,220558
2006,4005,220558
2007,3684,220558
2008,3790,220558
2009,3817,220558
2010,3863,220558
2011,3892,220558
2012,3920,220558
2013,3948,220558
2014,3963,220558
2015,3975,220558
2016,3987,220558
2017,3996,220558
2018,4052,220558
2019,4064,220558
2020,4075,220558
2021,4086,220558
2022,4805,220558
1996,,220559
1997,3566,220559
1998,3571,220559
1999,3576,220559
2000,4138,220559
2001,4197,220559
2002,4268,220559
2003,4329,220559
2004,4456,220559
2005,4526,220559
2006,4596,220559
2007,5042,220559
2008,5188,220559
2009,5292,220559
2010,4850,220559
2011,4905,220559
2012,4958,220559
2013,4995,220559
2014,5022,220559
2015,5047,220559
2016,5068,220559
2017,5087,220559
2018,5154,220559
2019,5177,220559
2020,5198,220559
2021,5219,220559
2022,4529,220559
1991,5681,220560
1992,5646,220560
1993,5594,220560
1994,5555,220560
1995,5517,220560
1996,5511,220560
1997,5420,220560
1998,5343,220560
1999,5266,220560
2000,5628,220560
2001,5621,220560
2002,5617,220560
2003,5612,220560
2004,5601,220560
2005,5595,220560
2006,5589,220560
2007,5586,220560
2008,5746,220560
2009,5753,220560
2010,5281,220560
2011,5254,220560
2012,5229,220560
2013,5266,220560
2014,5251,220560
2015,5238,220560
2016,5227,220560
2017,5217,220560
2018,5307,220560
2019,5295,220560
2020,5283,220560
2021,5272,220560
2022,5315,220560
1991,28834,220570
1992,28547,220570
1993,28786,220570
1994,28958,220570
1995,29126,220570
1996,28807,220570
1997,22692,220570
1998,22737,220570
1999,22781,220570
2000,24253,220570
2001,24503,220570
2002,24659,220570
2003,24847,220570
2004,25243,220570
2005,25462,220570
2006,25679,220570
2007,26147,220570
2008,26900,220570
2009,27148,220570
2010,28406,220570
2011,28725,220570
2012,29034,220570
2013,29252,220570
2014,29415,220570
2015,29558,220570
2016,29683,220570
2017,29792,220570
2018,30177,220570
2019,30311,220570
2020,30438,220570
2021,30558,220570
2022,30701,220570
1991,36013,220580
1992,36218,220580
1993,36495,220580
1994,36714,220580
1995,36928,220580
1996,36085,220580
1997,25714,220580
1998,25764,220580
1999,25814,220580
2000,24042,220580
2001,23841,220580
2002,23714,220580
2003,23561,220580
2004,23241,220580
2005,23064,220580
2006,22888,220580
2007,24323,220580
2008,25021,220580
2009,25099,220580
2010,24721,220580
2011,24773,220580
2012,24824,220580
2013,25005,220580
2014,25028,220580
2015,25049,220580
2016,25067,220580
2017,25082,220580
2018,25467,220580
2019,25486,220580
2020,25504,220580
2021,25521,220580
2022,25382,220580
1996,,220585
1997,5804,220585
1998,5816,220585
1999,5827,220585
2000,6771,220585
2001,6889,220585
2002,6980,220585
2003,7077,220585
2004,7280,220585
2005,7392,220585
2006,7504,220585
2007,7680,220585
2008,7902,220585
2009,8012,220585
2010,7816,220585
2011,7896,220585
2012,7974,220585
2013,8034,220585
2014,8075,220585
2015,8111,220585
2016,8143,220585
2017,8170,220585
2018,8276,220585
2019,8310,220585
2020,8342,220585
2021,8372,220585
2022,8046,220585
1991,6799,220590
1992,6857,220590
1993,6961,220590
1994,7035,220590
1995,7107,220590
1996,5987,220590
1997,4645,220590
1998,4579,220590
1999,4513,220590
2000,5151,220590
2001,5125,220590
2002,5106,220590
2003,5085,220590
2004,5042,220590
2005,5018,220590
2006,4994,220590
2007,5357,220590
2008,5511,220590
2009,5543,220590
2010,5213,220590
2011,5218,220590
2012,5223,220590
2013,5260,220590
2014,5262,220590
2015,5263,220590
2016,5265,220590
2017,5266,220590
2018,5348,220590
2019,5349,220590
2020,5351,220590
2021,5352,220590
2022,5212,220590
1992,4857,220595
1993,4913,220595
1994,4967,220595
1995,5021,220595
1996,5827,220595
1997,6033,220595
1998,6208,220595
1999,6382,220595
2000,6178,220595
2001,6344,220595
2002,6469,220595
2003,6604,220595
2004,6888,220595
2005,7044,220595
2006,7200,220595
2007,7154,220595
2008,7361,220595
2009,7477,220595
2010,7812,220595
2011,7937,220595
2012,8059,220595
2013,8121,220595
2014,8186,220595
2015,8249,220595
2016,8299,220595
2017,8342,220595
2018,8439,220595
2019,8492,220595
2020,8543,220595
2021,8590,220595
2022,8541,220595
1991,4421,220600
1992,4480,220600
1993,4585,220600
1994,4660,220600
1995,4733,220600
1996,4750,220600
1997,4378,220600
1998,4462,220600
1999,4546,220600
2000,4279,220600
2001,4308,220600
2002,4341,220600
2003,4370,220600
2004,4430,220600
2005,4464,220600
2006,4713,220600
2007,4198,220600
2008,4318,220600
2009,4297,220600
2010,4456,220600
2011,4454,220600
2012,4453,220600
2013,4484,220600
2014,4482,220600
2015,4481,220600
2016,4479,220600
2017,4478,220600
2018,4550,220600
2019,4549,220600
2020,4547,220600
2021,4546,220600
2022,4729,220600
1996,,220605
1997,5606,220605
1998,5641,220605
1999,5676,220605
2000,5988,220605
2001,6035,220605
2002,6126,220605
2003,6191,220605
2004,6326,220605
2005,6400,220605
2006,6474,220605
2007,6428,220605
2008,6613,220605
2009,6672,220605
2010,6220,220605
2011,6240,220605
2012,6260,220605
2013,6305,220605
2014,6315,220605
2015,6323,220605
2016,6332,220605
2017,6338,220605
2018,6434,220605
2019,6441,220605
2020,6449,220605
2021,6456,220605
2022,5233,220605
1991,11937,220610
1992,12009,220610
1993,12114,220610
1994,12194,220610
1995,12272,220610
1996,12468,220610
1997,8953,220610
1998,9012,220610
1999,9070,220610
2000,9727,220610
2001,9868,220610
2002,9984,220610
2003,10103,220610
2004,10353,220610
2005,10492,220610
2006,10629,220610
2007,10465,220610
2008,10766,220610
2009,10863,220610
2010,10473,220610
2011,10530,220610
2012,10586,220610
2013,10664,220610
2014,10693,220610
2015,10718,220610
2016,10740,220610
2017,10759,220610
2018,10913,220610
2019,10936,220610
2020,10958,220610
2021,10979,220610
2022,10712,220610
1991,27678,220620
1992,27721,220620
1993,27805,220620
1994,27863,220620
1995,27919,220620
1996,27987,220620
1997,28052,220620
1998,28106,220620
1999,28161,220620
2000,29849,220620
2001,30104,220620
2002,30306,220620
2003,30517,220620
2004,30962,220620
2005,31209,220620
2006,31453,220620
2007,32178,220620
2008,33104,220620
2009,33410,220620
2010,32289,220620
2011,32476,220620
2012,32658,220620
2013,32900,220620
2014,32993,220620
2015,33075,220620
2016,33146,220620
2017,33209,220620
2018,33684,220620
2019,33760,220620
2020,33833,220620
2021,33901,220620
2022,32151,220620
1991,1254,220630
1992,1247,220630
1993,1235,220630
1994,1226,220630
1995,1218,220630
1996,1550,220630
1997,1586,220630
1998,1616,220630
1999,1646,220630
2000,1370,220630
2001,1382,220630
2002,1394,220630
2003,1406,220630
2004,1430,220630
2005,1443,220630
2006,1456,220630
2007,1194,220630
2008,1228,220630
2009,1212,220630
2010,1253,220630
2011,1244,220630
2012,1236,220630
2013,1244,220630
2014,1239,220630
2015,1235,220630
2016,1231,220630
2017,1228,220630
2018,1250,220630
2019,1246,220630
2020,1242,220630
2021,1239,220630
2022,1318,220630
1996,,220635
1997,5467,220635
1998,5501,220635
1999,5535,220635
2000,6900,220635
2001,7110,220635
2002,7237,220635
2003,7393,220635
2004,7721,220635
2005,7903,220635
2006,8083,220635
2007,7030,220635
2008,7220,220635
2009,7246,220635
2010,6769,220635
2011,6759,220635
2012,6750,220635
2013,6797,220635
2014,6791,220635
2015,6517,220635
2016,6513,220635
2017,6511,220635
2018,6617,220635
2019,6613,220635
2020,6608,220635
2021,6603,220635
2022,6543,220635
1991,10986,220640
1992,11045,220640
1993,11148,220640
1994,11221,220640
1995,11293,220640
1996,11571,220640
1997,10234,220640
1998,10379,220640
1999,10522,220640
2000,10309,220640
2001,10392,220640
2002,10468,220640
2003,10542,220640
2004,10696,220640
2005,10782,220640
2006,10867,220640
2007,10321,220640
2008,10616,220640
2009,10639,220640
2010,10333,220640
2011,10335,220640
2012,10337,220640
2013,10411,220640
2014,10410,220640
2015,10410,220640
2016,10409,220640
2017,10409,220640
2018,10565,220640
2019,10564,220640
2020,10564,220640
2021,10563,220640
2022,10260,220640
1991,6276,220650
1992,6367,220650
1993,6509,220650
1994,6615,220650
1995,6718,220650
1996,6567,220650
1997,6619,220650
1998,6662,220650
1999,6706,220650
2000,6764,220650
2001,6812,220650
2002,6867,220650
2003,6914,220650
2004,7014,220650
2005,7070,220650
2006,7125,220650
2007,7163,220650
2008,7369,220650
2009,7425,220650
2010,7391,220650
2011,7439,220650
2012,7486,220650
2013,7541,220650
2014,7565,220650
2015,7586,220650
2016,7605,220650
2017,7621,220650
2018,7729,220650
2019,7749,220650
2020,7767,220650
2021,7785,220650
2022,7550,220650
1991,9446,220660
1992,9533,220660
1993,9671,220660
1994,9773,220660
1995,9873,220660
1996,9414,220660
1997,9386,220660
1998,9362,220660
1999,9338,220660
2000,10230,220660
2001,10332,220660
2002,10395,220660
2003,10472,220660
2004,10632,220660
2005,10721,220660
2006,10809,220660
2007,10335,220660
2008,10632,220660
2009,10663,220660
2010,10345,220660
2011,10354,220660
2012,10363,220660
2013,10438,220660
2014,10441,220660
2015,10444,220660
2016,10446,220660
2017,10448,220660
2018,10611,220660
2019,10613,220660
2020,10615,220660
2021,10618,220660
2022,10683,220660
1996,,220665
1997,4293,220665
1998,4349,220665
1999,4406,220665
2000,4426,220665
2001,4478,220665
2002,4509,220665
2003,4547,220665
2004,4358,220665
2005,4400,220665
2006,4442,220665
2007,4241,220665
2008,4362,220665
2009,4378,220665
2010,4068,220665
2011,4060,220665
2012,4053,220665
2013,4082,220665
2014,4077,220665
2015,4073,220665
2016,4070,220665
2017,4066,220665
2018,4533,220665
2019,4532,220665
2020,4530,220665
2021,4527,220665
2022,4361,220665
1996,,220667
1997,4774,220667
1998,4804,220667
1999,4833,220667
2000,6006,220667
2001,6189,220667
2002,6308,220667
2003,6448,220667
2004,6742,220667
2005,6904,220667
2006,7066,220667
2007,6377,220667
2008,6560,220667
2009,6611,220667
2010,6499,220667
2011,6537,220667
2012,6574,220667
2013,6622,220667
2014,6641,220667
2015,6657,220667
2016,6672,220667
2017,6684,220667
2018,6781,220667
2019,6796,220667
2020,6811,220667
2021,6825,220667
2022,6422,220667
1996,,220669
1997,6063,220669
1998,6014,220669
1999,5966,220669
2000,6375,220669
2001,6394,220669
2002,6400,220669
2003,6411,220669
2004,6436,220669
2005,6449,220669
2006,6462,220669
2007,7655,220669
2008,7877,220669
2009,8024,220669
2010,8464,220669
2011,8591,220669
2012,8714,220669
2013,8781,220669
2014,8846,220669
2015,8903,220669
2016,8954,220669
2017,8997,220669
2018,9105,220669
2019,9159,220669
2020,9209,220669
2021,9258,220669
2022,9841,220669
1991,7831,220670
1992,7855,220670
1993,7876,220670
1994,7897,220670
1995,7917,220670
1996,8111,220670
1997,8174,220670
1998,8227,220670
1999,8281,220670
2000,7805,220670
2001,7793,220670
2002,7800,220670
2003,7797,220670
2004,7792,220670
2005,7789,220670
2006,7786,220670
2007,6947,220670
2008,7144,220670
2009,7070,220670
2010,7321,220670
2011,7284,220670
2012,7248,220670
2013,7300,220670
2014,7279,220670
2015,7261,220670
2016,7245,220670
2017,7231,220670
2018,7356,220670
2019,7339,220670
2020,7322,220670
2021,7307,220670
2022,6660,220670
2008,8501,220672
2009,7895,220672
2010,8068,220672
2012,8227,220672
2013,8289,220672
2014,8330,220672
2015,8366,220672
2016,8398,220672
2017,8425,220672
2018,8536,220672
2019,8570,220672
2020,8602,220672
2021,8632,220672
2022,10278,220672
1996,,220675
1997,3389,220675
1998,3346,220675
1999,3292,220675
2000,3726,220675
2001,3893,220675
2002,3904,220675
2003,3922,220675
2004,3960,220675
2005,3982,220675
2006,4002,220675
2007,4048,220675
2008,4165,220675
