ano,popul,codigo_ibge
2013,45761,110010
2014,46203,110010
2015,46632,110010
2016,47048,110010
2017,47451,110010
2018,45783,110010
2019,46174,110010
2020,46556,110010
2021,46930,110010
2022,39396,110010
1991,63535,110011
1992,52287,110011
1993,54456,110011
1994,56467,110011
1995,58428,110011
1996,48141,110011
1997,47779,110011
1998,47437,110011
1999,47126,110011
2000,53600,110011
2001,53150,110011
2002,54352,110011
2003,54701,110011
2004,56238,110011
2005,55840,110011
2006,56242,110011
2007,52453,110011
2008,53955,110011
2009,53943,110011
2010,52005,110011
2011,51883,110011
2012,51765,110011
2013,55597,110011
2014,55669,110011
2015,55738,110011
2016,55806,110011
2017,55871,110011
2018,51933,110011
2019,51775,110011
2020,51620,110011
2021,51469,110011
2022,52090,110011
1991,97799,110012
1992,102481,110012
1993,106457,110012
1994,110390,110012
1995,114226,110012
1996,95356,110012
1997,94639,110012
1998,93961,110012
1999,93346,110012
2000,106800,110012
2001,107869,110012
2002,108694,110012
2003,109573,110012
2004,113441,110012
2005,112439,110012
2006,113453,110012
2007,107679,110012
2008,110707,110012
2009,111010,110012
2010,116610,110012
2011,117363,110012
2012,118092,110012
2013,128026,110012
2014,129242,110012
2015,130419,110012
2016,131560,110012
2017,132667,110012
2018,127907,110012
2019,128969,110012
2020,130009,110012
2021,131026,110012
2022,136825,110012
1991,16765,110013
1992,17202,110013
1993,17677,110013
1994,18130,110013
1995,18572,110013
1996,28949,110013
1997,26122,110013
1998,28095,110013
1999,30302,110013
2000,22739,110013
2001,23873,110013
2002,24724,110013
2003,25645,110013
2004,29698,110013
2005,28649,110013
2006,29711,110013
2007,31475,110013
2008,32214,110013
2009,33159,110013
2010,31135,110013
2011,31779,110013
2012,32403,110013
2013,35633,110013
2014,36412,110013
2015,37167,110013
2016,37899,110013
2017,38609,110013
2018,39097,110013
2019,39991,110013
2020,40867,110013
2021,41724,110013
2022,30626,110013
1991,15797,110014
1992,16317,110014
1993,16743,110014
1994,17172,110014
1995,17591,110014
1996,15422,110014
1997,15335,110014
1998,15253,110014
1999,15178,110014
2000,17067,110014
2001,17216,110014
2002,17334,110014
2003,17458,110014
2004,18003,110014
2005,17862,110014
2006,18005,110014
2007,17170,110014
2008,17653,110014
2009,17698,110014
2010,19874,110014
2011,19882,110014
