Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2019,3550308,São Paulo - SP,"3,229","4,98 Milhões","R$ 19,7 Bilhões","R$ 3,95 Mil","0,636","-0,034"
2019,3304557,Rio de Janeiro - RJ,"3,317","2,2 Milhões","R$ 8,64 Bilhões","R$ 3,93 Mil","0,749","-0,01"
2019,3106200,Belo Horizonte - MG,"2,643","1,2 Milhão","R$ 4,31 Bilhões","R$ 3,59 Mil","0,839","0,068"
2019,5300108,Brasília - DF,"3,329","1,07 Milhão","R$ 5,58 Bilhões","R$ 5,22 Mil","0,932","0,039"
2019,4106902,Curitiba - PR,"3,268",899 Mil,"R$ 3,52 Bilhões","R$ 3,92 Mil","0,784","-0,004"
2019,2304400,Fortaleza - CE,"2,363",759 Mil,"R$ 2,13 Bilhões","R$ 2,8 Mil","0,821","0,091"
2019,2927408,Salvador - BA,"2,622",694 Mil,"R$ 2,35 Bilhões","R$ 3,39 Mil","0,852","0,067"
2019,4314902,Porto Alegre - RS,"3,155",679 Mil,"R$ 2,78 Bilhões","R$ 4,09 Mil","0,837","0,023"
2019,2611606,Recife - PE,"2,807",640 Mil,"R$ 2,06 Bilhões","R$ 3,22 Mil","0,839","0,055"
2019,5208707,Goiânia - GO,"2,154",576 Mil,"R$ 1,89 Bilhão","R$ 3,29 Mil","0,824","0,113"
2019,1302603,Manaus - AM,"3,358",489 Mil,"R$ 1,52 Bilhão","R$ 3,11 Mil","0,801","-0,017"
2019,3509502,Campinas - SP,"2,886",402 Mil,"R$ 1,49 Bilhão","R$ 3,72 Mil","0,699","0,023"
2019,1501402,Belém - PA,"2,213",397 Mil,"R$ 1,39 Bilhão","R$ 3,51 Mil","0,905","0,08"
2019,2111300,São Luís - MA,"2,593",345 Mil,"R$ 1,05 Bilhão","R$ 3,04 Mil","0,913","0,057"
2019,3518800,Guarulhos - SP,"3,367",334 Mil,"R$ 1,03 Bilhão","R$ 3,08 Mil","0,686","-0,061"
2019,2408102,Natal - RN,"2,268",294 Mil,R$ 905 Milhões,"R$ 3,08 Mil","0,914","0,073"
2019,4205407,Florianópolis - SC,"2,846",288 Mil,"R$ 1,4 Bilhão","R$ 4,84 Mil","0,911","0,048"
2019,2211001,Teresina - PI,"2,035",277 Mil,R$ 774 Milhões,"R$ 2,79 Mil","0,883","0,091"
2019,5002704,Campo Grande - MS,"2,272",271 Mil,R$ 979 Milhões,"R$ 3,61 Mil","0,885","0,086"
2019,2507507,João Pessoa - PB,"2,071",269 Mil,R$ 745 Milhões,"R$ 2,76 Mil","0,893","0,087"
2019,3505708,Barueri - SP,"3,397",268 Mil,"R$ 1,06 Bilhão","R$ 3,93 Mil","0,742","-0,033"
2019,2704302,Maceió - AL,"2,13",251 Mil,R$ 674 Milhões,"R$ 2,69 Mil","0,88","0,09"
2019,3548708,São Bernardo do Campo - SP,"3,423",251 Mil,R$ 890 Milhões,"R$ 3,55 Mil","0,766","-0,033"
2019,5103403,Cuiabá - MT,"2,072",247 Mil,R$ 938 Milhões,"R$ 3,8 Mil","0,897","0,09"
2019,3543402,Ribeirão Preto - SP,"2,184",232 Mil,R$ 643 Milhões,"R$ 2,77 Mil","0,682","0,133"
2019,3170206,Uberlândia - MG,"1,877",215 Mil,R$ 556 Milhões,"R$ 2,59 Mil","0,755","0,162"
2019,3205309,Vitoria - ES,"2,654",214 Mil,R$ 879 Milhões,"R$ 4,1 Mil","0,885","0,058"
2019,4209102,Joinville - SC,"2,847",212 Mil,R$ 603 Milhões,"R$ 2,85 Mil","0,73","0,02"
2019,3547809,Santo André - SP,"2,493",207 Mil,R$ 576 Milhões,"R$ 2,79 Mil","0,759","0,069"
2019,3552205,Sorocaba - SP,"2,823",196 Mil,R$ 594 Milhões,"R$ 3,03 Mil","0,717","0,018"
2019,3118601,Contagem - MG,"2,726",191 Mil,R$ 439 Milhões,"R$ 2,3 Mil","0,695","0,047"
2019,2800308,Aracaju - SE,"1,989",185 Mil,R$ 462 Milhões,"R$ 2,5 Mil","0,851","0,108"
2019,3549904,São José Dos Campos - SP,"2,6",179 Mil,R$ 572 Milhões,"R$ 3,19 Mil","0,741","0,062"
2019,3548500,Santos - SP,"2,181",175 Mil,R$ 516 Milhões,"R$ 2,94 Mil","0,826","0,104"
2019,3303302,Niterói - RJ,"2,093",168 Mil,R$ 533 Milhões,"R$ 3,17 Mil","0,855","0,1"
