Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2020,3550308,São Paulo - SP,"3,136","4,84 Milhões","R$ 19,6 Bilhões","R$ 4,05 Mil","0,641","-0,014"
2020,3304557,Rio de Janeiro - RJ,"3,297","2,07 Milhões","R$ 8,32 Bilhões","R$ 4,01 Mil","0,753","-0,006"
2020,5300108,Brasília - DF,"3,409","1,24 Milhão","R$ 6,5 Bilhões","R$ 5,25 Mil","0,939","0,043"
2020,3106200,Belo Horizonte - MG,"2,55","1,2 Milhão","R$ 4,5 Bilhões","R$ 3,74 Mil","0,845","0,076"
2020,4106902,Curitiba - PR,"3,097",863 Mil,"R$ 3,47 Bilhões","R$ 4,02 Mil","0,783","0,01"
2020,2304400,Fortaleza - CE,"2,408",754 Mil,"R$ 2,17 Bilhões","R$ 2,88 Mil","0,827","0,091"
2020,2927408,Salvador - BA,"2,643",728 Mil,"R$ 2,5 Bilhões","R$ 3,44 Mil","0,874","0,066"
2020,4314902,Porto Alegre - RS,"3,046",651 Mil,"R$ 2,76 Bilhões","R$ 4,24 Mil","0,839","0,033"
2020,2611606,Recife - PE,"2,924",636 Mil,"R$ 2,14 Bilhões","R$ 3,36 Mil","0,847","0,05"
2020,5208707,Goiânia - GO,"2,169",562 Mil,"R$ 1,89 Bilhão","R$ 3,36 Mil","0,835","0,11"
2020,1302603,Manaus - AM,"3,336",500 Mil,"R$ 1,6 Bilhão","R$ 3,2 Mil","0,79","-0,017"
2020,1501402,Belém - PA,"2,15",399 Mil,"R$ 1,42 Bilhão","R$ 3,55 Mil","0,895","0,09"
2020,3509502,Campinas - SP,"2,984",390 Mil,"R$ 1,49 Bilhão","R$ 3,82 Mil","0,703","0,013"
2020,2111300,São Luís - MA,"2,645",345 Mil,"R$ 1,09 Bilhão","R$ 3,16 Mil","0,91","0,062"
2020,3518800,Guarulhos - SP,"3,32",332 Mil,"R$ 1,02 Bilhão","R$ 3,07 Mil","0,674","-0,057"
2020,4205407,Florianópolis - SC,"2,563",294 Mil,"R$ 1,47 Bilhão","R$ 4,99 Mil","0,915","0,061"
2020,3505708,Barueri - SP,"3,314",293 Mil,"R$ 1,1 Bilhão","R$ 3,76 Mil","0,752","-0,021"
2020,2408102,Natal - RN,"2,001",281 Mil,R$ 923 Milhões,"R$ 3,29 Mil","0,91","0,091"
2020,5002704,Campo Grande - MS,"2,138",271 Mil,R$ 972 Milhões,"R$ 3,58 Mil","0,871","0,103"
2020,2507507,João Pessoa - PB,"2,044",269 Mil,R$ 781 Milhões,"R$ 2,91 Mil","0,91","0,087"
2020,2211001,Teresina - PI,"2,161",264 Mil,R$ 782 Milhões,"R$ 2,96 Mil","0,892","0,087"
2020,3548708,São Bernardo do Campo - SP,"3,373",247 Mil,R$ 859 Milhões,"R$ 3,48 Mil","0,756","-0,029"
2020,2704302,Maceió - AL,"2,209",247 Mil,R$ 686 Milhões,"R$ 2,78 Mil","0,874","0,091"
2020,5103403,Cuiabá - MT,"1,846",240 Mil,R$ 980 Milhões,"R$ 4,09 Mil","0,898","0,103"
2020,3543402,Ribeirão Preto - SP,"2,207",226 Mil,R$ 632 Milhões,"R$ 2,79 Mil","0,667","0,135"
2020,3170206,Uberlândia - MG,"1,872",215 Mil,R$ 569 Milhões,"R$ 2,64 Mil","0,742","0,171"
2020,4209102,Joinville - SC,"2,934",212 Mil,R$ 588 Milhões,"R$ 2,77 Mil","0,722","0,009"
2020,3205309,Vitoria - ES,"2,683",209 Mil,R$ 895 Milhões,"R$ 4,28 Mil","0,892","0,062"
2020,2800308,Aracaju - SE,"2,366",208 Mil,R$ 604 Milhões,"R$ 2,9 Mil","0,9","0,079"
2020,3547809,Santo André - SP,"2,499",202 Mil,R$ 568 Milhões,"R$ 2,82 Mil","0,772","0,069"
2020,3552205,Sorocaba - SP,"2,836",194 Mil,R$ 586 Milhões,"R$ 3,02 Mil","0,71","0,019"
2020,3118601,Contagem - MG,"2,68",193 Mil,R$ 454 Milhões,"R$ 2,35 Mil","0,692","0,053"
2020,3549904,São José Dos Campos - SP,"2,747",183 Mil,R$ 623 Milhões,"R$ 3,39 Mil","0,763","0,043"
2020,3548500,Santos - SP,"2,213",167 Mil,R$ 532 Milhões,"R$ 3,18 Mil","0,835","0,102"
2020,3303302,Niterói - RJ,"2,058",166 Mil,R$ 529 Milhões,"R$ 3,18 Mil","0,859","0,106"
2020,3525904,Jundiaí - SP,"2,735",165 Mil,R$ 558 Milhões,"R$ 3,38 Mil","0,722","0,04"
2020,3534401,Osasco - SP,"2,593",160 Mil,R$ 534 Milhões,"R$ 3,33 Mil","0,773","0,058"
2020,4113700,Londrina - PR,"2,156",160 Mil,R$ 462 Milhões,"R$ 2,89 Mil","0,689","0,138"
2020,4115200,Maringá - PR,"2,289",158 Mil,R$ 416 Milhões,"R$ 2,64 Mil","0,653","0,122"
2020,1100205,Porto Velho - RO,"2,112",156 Mil,R$ 560 Milhões,"R$ 3,58 Mil","0,922","0,083"
2020,4305108,Caxias do Sul - RS,"3,032",152 Mil,R$ 472 Milhões,"R$ 3,1 Mil","0,699","-0,015"
2020,3301702,Duque de Caxias - RJ,"2,639",145 Mil,R$ 373 Milhões,"R$ 2,57 Mil","0,776","0,06"
2020,3136702,Juiz de Fora - MG,"2,256",141 Mil,R$ 335 Milhões,"R$ 2,37 Mil","0,805","0,098"
2020,3549805,São José do Rio Preto - SP,"2,213",136 Mil,R$ 372 Milhões,"R$ 2,72 Mil","0,694","0,126"
2020,3205002,Serra - ES,"2,57",136 Mil,R$ 328 Milhões,"R$ 2,42 Mil","0,784","0,066"
2020,4202404,Blumenau - SC,"2,849",129 Mil,R$ 401 Milhões,"R$ 3,12 Mil","0,717","0,027"
2020,3506003,Bauru - SP,"2,332",124 Mil,R$ 324 Milhões,"R$ 2,61 Mil","0,766","0,097"
2020,1721000,Palmas - TO,"2,655",124 Mil,R$ 517 Milhões,"R$ 4,18 Mil","0,957","0,062"
2020,3538709,Piracicaba - SP,"2,592",120 Mil,R$ 376 Milhões,"R$ 3,12 Mil","0,707","0,057"
2020,2910800,Feira de Santana - BA,"1,997",116 Mil,R$ 222 Milhões,"R$ 1,9 Mil","0,721","0,153"
2020,4216602,São José - SC,"2,209",115 Mil,R$ 258 Milhões,"R$ 2,25 Mil","0,758","0,117"
2020,5201405,Aparecida de Goiânia - GO,"2,245",112 Mil,R$ 239 Milhões,"R$ 2,13 Mil","0,747","0,113"
2020,3302403,Macaé - RJ,"2,773",112 Mil,R$ 667 Milhões,"R$ 5,95 Mil","0,924","0,056"
2020,2919207,Lauro de Freitas - BA,"2,483",108 Mil,R$ 176 Milhões,"R$ 1,63 Mil","0,794","0,085"
2020,3106705,Betim - MG,"3,115",107 Mil,R$ 326 Milhões,"R$ 3,06 Mil","0,833","0,021"
2020,2504009,Campina Grande - PB,"1,941",106 Mil,R$ 230 Milhões,"R$ 2,16 Mil","0,885","0,1"
