Ano,ID IBGE,Localidade,ICE-R - Emprego,Empregos,Massa Salarial,Renda Mensal Média,Distância média,Ganho de oportunidade médio
2015,3550308,São Paulo - SP,"3,164","5,13 Milhões","R$ 17,7 Bilhões","R$ 3,45 Mil","0,618","-0,032"
2015,3304557,Rio de Janeiro - RJ,"3,261","2,52 Milhões","R$ 8,69 Bilhões","R$ 3,45 Mil","0,713","-0,011"
2015,5300108,Brasília - DF,"3,189","1,26 Milhão","R$ 6,03 Bilhões","R$ 4,77 Mil","0,933","0,049"
2015,3106200,Belo Horizonte - MG,"2,866","1,22 Milhão","R$ 3,89 Bilhões","R$ 3,2 Mil","0,817","0,053"
2015,4106902,Curitiba - PR,"3,244",914 Mil,"R$ 3,08 Bilhões","R$ 3,37 Mil","0,784","-0,003"
2015,2304400,Fortaleza - CE,"2,261",824 Mil,"R$ 1,83 Bilhão","R$ 2,22 Mil","0,805","0,112"
2015,2927408,Salvador - BA,"2,508",802 Mil,"R$ 2,35 Bilhões","R$ 2,93 Mil","0,854","0,078"
2015,4314902,Porto Alegre - RS,"3,003",750 Mil,"R$ 2,57 Bilhões","R$ 3,42 Mil","0,808","0,026"
2015,2611606,Recife - PE,"2,694",706 Mil,"R$ 1,92 Bilhão","R$ 2,72 Mil","0,837","0,071"
2015,5208707,Goiânia - GO,"2,177",599 Mil,"R$ 1,67 Bilhão","R$ 2,78 Mil","0,815","0,118"
2015,1302603,Manaus - AM,"3,268",518 Mil,"R$ 1,31 Bilhão","R$ 2,52 Mil","0,779","-0,014"
2015,3509502,Campinas - SP,"2,914",419 Mil,"R$ 1,35 Bilhão","R$ 3,23 Mil","0,672","0,013"
2015,1501402,Belém - PA,"2,328",417 Mil,"R$ 1,25 Bilhão","R$ 2,99 Mil","0,882","0,087"
2015,3518800,Guarulhos - SP,"3,145",342 Mil,R$ 903 Milhões,"R$ 2,64 Mil","0,656","-0,03"
2015,2111300,São Luís - MA,"2,4",333 Mil,R$ 878 Milhões,"R$ 2,64 Mil","0,891","0,078"
2015,2408102,Natal - RN,"2,132",292 Mil,R$ 754 Milhões,"R$ 2,58 Mil","0,887","0,093"
2015,2507507,João Pessoa - PB,"2,142",291 Mil,R$ 666 Milhões,"R$ 2,29 Mil","0,896","0,088"
2015,2211001,Teresina - PI,"2,003",289 Mil,R$ 672 Milhões,"R$ 2,32 Mil","0,887","0,102"
2015,4205407,Florianópolis - SC,"2,759",277 Mil,"R$ 1,15 Bilhão","R$ 4,16 Mil","0,909","0,062"
2015,5002704,Campo Grande - MS,"2,17",275 Mil,R$ 828 Milhões,"R$ 3,01 Mil","0,865","0,103"
2015,3548708,São Bernardo do Campo - SP,"3,31",274 Mil,R$ 899 Milhões,"R$ 3,29 Mil","0,749","-0,022"
2015,2704302,Maceió - AL,"2,071",265 Mil,R$ 603 Milhões,"R$ 2,28 Mil","0,88","0,1"
2015,3505708,Barueri - SP,"3,314",263 Mil,R$ 995 Milhões,"R$ 3,78 Mil","0,742","-0,024"
2015,5103403,Cuiabá - MT,"2,236",244 Mil,R$ 803 Milhões,"R$ 3,29 Mil","0,88","0,093"
2015,3543402,Ribeirão Preto - SP,"2,279",227 Mil,R$ 556 Milhões,"R$ 2,46 Mil","0,688","0,127"
2015,3205309,Vitoria - ES,"2,733",224 Mil,R$ 799 Milhões,"R$ 3,57 Mil","0,89","0,059"
2015,2800308,Aracaju - SE,"2,354",219 Mil,R$ 513 Milhões,"R$ 2,34 Mil","0,871","0,088"
2015,3170206,Uberlândia - MG,"1,875",216 Mil,R$ 476 Milhões,"R$ 2,21 Mil","0,731","0,182"
2015,3547809,Santo André - SP,"2,628",207 Mil,R$ 506 Milhões,"R$ 2,44 Mil","0,748","0,059"
2015,3549904,São José Dos Campos - SP,"2,979",201 Mil,R$ 646 Milhões,"R$ 3,21 Mil","0,801","0,025"
2015,3118601,Contagem - MG,"2,823",200 Mil,R$ 422 Milhões,"R$ 2,11 Mil","0,698","0,033"
2015,3552205,Sorocaba - SP,"2,969",200 Mil,R$ 528 Milhões,"R$ 2,64 Mil","0,705","0,006"
2015,4209102,Joinville - SC,"2,648",199 Mil,R$ 487 Milhões,"R$ 2,45 Mil","0,723","0,049"
2015,3303302,Niterói - RJ,"2,204",190 Mil,R$ 514 Milhões,"R$ 2,7 Mil","0,84","0,103"
2015,3548500,Santos - SP,"2,286",181 Mil,R$ 487 Milhões,"R$ 2,69 Mil","0,808","0,107"
2015,1100205,Porto Velho - RO,"1,861",175 Mil,R$ 514 Milhões,"R$ 2,94 Mil","0,923","0,096"
2015,4113700,Londrina - PR,"2,042",173 Mil,R$ 410 Milhões,"R$ 2,37 Mil","0,68","0,162"
2015,3525904,Jundiaí - SP,"2,69",173 Mil,R$ 488 Milhões,"R$ 2,82 Mil","0,71","0,049"
2015,3301702,Duque de Caxias - RJ,"2,609",170 Mil,R$ 408 Milhões,"R$ 2,4 Mil","0,805","0,064"
2015,3534401,Osasco - SP,"2,632",169 Mil,R$ 452 Milhões,"R$ 2,67 Mil","0,758","0,057"
2015,4305108,Caxias do Sul - RS,"2,876",165 Mil,R$ 435 Milhões,"R$ 2,64 Mil","0,713","0,008"
2015,4115200,Maringá - PR,"2,169",159 Mil,R$ 360 Milhões,"R$ 2,27 Mil","0,678","0,143"
2015,3136702,Juiz de Fora - MG,"2,13",147 Mil,R$ 289 Milhões,"R$ 1,97 Mil","0,785","0,124"
2015,2919207,Lauro de Freitas - BA,"2,539",140 Mil,R$ 200 Milhões,"R$ 1,43 Mil","0,81","0,081"
2015,3302403,Macaé - RJ,"3,197",139 Mil,R$ 800 Milhões,"R$ 5,76 Mil","0,93","0,041"
2015,3549805,São José do Rio Preto - SP,"2,058",139 Mil,R$ 326 Milhões,"R$ 2,35 Mil","0,678","0,16"
2015,4202404,Blumenau - SC,"2,709",133 Mil,R$ 339 Milhões,"R$ 2,55 Mil","0,701","0,051"
2015,3205002,Serra - ES,"2,551",132 Mil,R$ 285 Milhões,"R$ 2,15 Mil","0,769","0,076"
2015,1721000,Palmas - TO,"2,724",129 Mil,R$ 438 Milhões,"R$ 3,4 Mil","0,949","0,064"
2015,3538709,Piracicaba - SP,"2,553",126 Mil,R$ 346 Milhões,"R$ 2,75 Mil","0,722","0,059"
2015,3506003,Bauru - SP,"2,196",126 Mil,R$ 292 Milhões,"R$ 2,32 Mil","0,77","0,11"
2015,2910800,Feira de Santana - BA,"1,745",123 Mil,R$ 202 Milhões,"R$ 1,65 Mil","0,723","0,195"
2015,3304904,São Gonçalo - RJ,"1,895",123 Mil,R$ 216 Milhões,"R$ 1,76 Mil","0,797","0,147"
2015,2607901,Jaboatão Dos Guararapes - PE,"2,384",120 Mil,R$ 203 Milhões,"R$ 1,7 Mil","0,744","0,094"
2015,3106705,Betim - MG,"3,318",111 Mil,R$ 304 Milhões,"R$ 2,74 Mil","0,843","0,007"
2015,5201405,Aparecida de Goiânia - GO,"2,267",111 Mil,R$ 187 Milhões,"R$ 1,69 Mil","0,729","0,113"
2015,3548807,São Caetano do Sul - SP,"3,144",109 Mil,R$ 306 Milhões,"R$ 2,79 Mil","0,781","-0,001"
2015,4216602,São José - SC,"2,187",107 Mil,R$ 211 Milhões,"R$ 1,98 Mil","0,754","0,124"
2015,1200401,Rio Branco - AC,"1,508",105 Mil,R$ 283 Milhões,"R$ 2,69 Mil","0,921","0,111"
2015,3303500,Nova Iguaçu - RJ,"1,592",105 Mil,R$ 186 Milhões,"R$ 1,77 Mil","0,818","0,163"
2015,2504009,Campina Grande - PB,"2,01",104 Mil,R$ 196 Milhões,"R$ 1,88 Mil","0,855","0,11"
2015,4104808,Cascavel - PR,"1,863",103 Mil,R$ 221 Milhões,"R$ 2,16 Mil","0,722","0,18"
2015,3205200,Vila Velha - ES,"1,939",102 Mil,R$ 186 Milhões,"R$ 1,82 Mil","0,765","0,157"
2015,3530607,Mogi Das Cruzes - SP,"2,212",101 Mil,R$ 218 Milhões,"R$ 2,16 Mil","0,747","0,11"
2015,3513801,Diadema - SP,"3,33",101 Mil,R$ 269 Milhões,"R$ 2,67 Mil","0,718","-0,04"
2015,5201108,Anápolis - GO,"2,05",99 Mil,R$ 205 Milhões,"R$ 2,07 Mil","0,781","0,13"
2015,3301009,Campos Dos Goytacazes - RJ,"1,658","98,9 Mil",R$ 215 Milhões,"R$ 2,18 Mil","0,839","0,152"
2015,1600303,Macapá - AP,"2,1","98,3 Mil",R$ 341 Milhões,"R$ 3,47 Mil","0,95","0,078"
2015,3170107,Uberaba - MG,"1,624","91,2 Mil",R$ 204 Milhões,"R$ 2,24 Mil","0,787","0,179"
2015,4125506,São José Dos Pinhais - PR,"2,985","90,1 Mil",R$ 248 Milhões,"R$ 2,76 Mil","0,741","0,01"
2015,3143302,Montes Claros - MG,"1,708","89,9 Mil",R$ 164 Milhões,"R$ 1,82 Mil","0,817","0,153"
2015,1400100,Boa Vista - RR,"1,337","86,4 Mil",R$ 245 Milhões,"R$ 2,84 Mil","0,93","0,112"
2015,4119905,Ponta Grossa - PR,"1,803","86,2 Mil",R$ 199 Milhões,"R$ 2,3 Mil","0,759","0,164"
2015,3516200,Franca - SP,"2,077",86 Mil,R$ 163 Milhões,"R$ 1,9 Mil","0,74","0,137"
2015,4304606,Canoas - RS,"2,556","85,3 Mil",R$ 231 Milhões,"R$ 2,71 Mil","0,785","0,066"
2015,4208203,Itajaí - SC,"2,474","85,1 Mil",R$ 214 Milhões,"R$ 2,52 Mil","0,755","0,088"
2015,2609600,Olinda - PE,"2,213","84,4 Mil",R$ 121 Milhões,"R$ 1,44 Mil","0,827","0,108"
2015,3526902,Limeira - SP,"2,48","83,5 Mil",R$ 208 Milhões,"R$ 2,48 Mil","0,725","0,07"
2015,3554102,Taubaté - SP,"2,464","82,1 Mil",R$ 212 Milhões,"R$ 2,58 Mil","0,8","0,071"
2015,3513009,Cotia - SP,"2,961","79,2 Mil",R$ 215 Milhões,"R$ 2,72 Mil","0,753","0,019"
2015,4204202,Chapecó - SC,"2,074","77,8 Mil",R$ 173 Milhões,"R$ 2,23 Mil","0,755","0,131"
2015,2905701,Camaçari - BA,"2,915","77,2 Mil",R$ 248 Milhões,"R$ 3,22 Mil","0,853","0,036"
2015,4313409,Novo Hamburgo - RS,"2,494","76,9 Mil",R$ 167 Milhões,"R$ 2,17 Mil","0,694","0,073"
2015,3501608,Americana - SP,"2,553","76,6 Mil",R$ 183 Milhões,"R$ 2,38 Mil","0,686","0,071"
2015,4314407,Pelotas - RS,"1,724","76,6 Mil",R$ 189 Milhões,"R$ 2,47 Mil","0,815","0,153"
2015,2604106,Caruaru - PE,"1,651",76 Mil,R$ 109 Milhões,"R$ 1,43 Mil","0,783","0,178"
2015,3503208,Araraquara - SP,"2,273","75,1 Mil",R$ 170 Milhões,"R$ 2,26 Mil","0,765","0,102"
2015,3548906,São Carlos - SP,"2,48","74,7 Mil",R$ 206 Milhões,"R$ 2,76 Mil","0,797","0,073"
2015,3303906,Petrópolis - RJ,"1,961","74,5 Mil",R$ 145 Milhões,"R$ 1,95 Mil","0,775","0,141"
2015,3306305,Volta Redonda - RJ,"2,074","74,2 Mil",R$ 144 Milhões,"R$ 1,94 Mil","0,832","0,119"
2015,3520509,Indaiatuba - SP,"2,948",73 Mil,R$ 217 Milhões,"R$ 2,96 Mil","0,724","0,003"
2015,4316907,Santa Maria - RS,"1,995","69,5 Mil",R$ 192 Milhões,"R$ 2,77 Mil","0,859","0,112"
2015,4208906,Jaraguá do Sul - SC,"2,643","69,2 Mil",R$ 186 Milhões,"R$ 2,68 Mil","0,808","0,062"
2015,3541406,Presidente Prudente - SP,"1,802","68,5 Mil",R$ 146 Milhões,"R$ 2,14 Mil","0,756","0,168"
2015,2611101,Petrolina - PE,"1,412","68,2 Mil",R$ 118 Milhões,"R$ 1,74 Mil","0,844","0,169"
2015,2933307,Vitória da Conquista - BA,"1,526",68 Mil,R$ 110 Milhões,"R$ 1,62 Mil","0,786","0,193"
2015,4204608,Criciúma - SC,"2,255","67,6 Mil",R$ 150 Milhões,"R$ 2,22 Mil","0,764","0,102"
2015,1500800,Ananindeua - PA,"1,672","66,6 Mil",R$ 105 Milhões,"R$ 1,57 Mil","0,806","0,164"
2015,3529401,Mauá - SP,"2,988","66,2 Mil",R$ 177 Milhões,"R$ 2,68 Mil","0,768","0,015"
2015,3131307,Ipatinga - MG,"1,902","65,7 Mil",R$ 129 Milhões,"R$ 1,96 Mil","0,829","0,128"
2015,3529005,Marília - SP,"1,865","65,3 Mil",R$ 144 Milhões,"R$ 2,2 Mil","0,797","0,142"
2015,3543907,Rio Claro - SP,"2,344","65,1 Mil",R$ 160 Milhões,"R$ 2,45 Mil","0,776","0,09"
2015,2408003,Mossoró - RN,"1,97","64,5 Mil",R$ 135 Milhões,"R$ 2,1 Mil","0,82","0,133"
2015,5003702,Dourados - MS,"1,299",64 Mil,R$ 140 Milhões,"R$ 2,18 Mil","0,84","0,178"
2015,3305109,São João de Meriti - RJ,"1,544","63,2 Mil",R$ 102 Milhões,"R$ 1,61 Mil","0,837","0,156"
2015,3552809,Taboão da Serra - SP,"2,551","62,4 Mil",R$ 133 Milhões,"R$ 2,13 Mil","0,776","0,066"
2015,3127701,Governador Valadares - MG,"1,551",62 Mil,R$ 103 Milhões,"R$ 1,66 Mil","0,766","0,198"
2015,3547304,Santana de Parnaíba - SP,"3,009","61,3 Mil",R$ 160 Milhões,"R$ 2,61 Mil","0,749","0,015"
2015,2307650,Maracanaú - CE,"2,49",61 Mil,R$ 102 Milhões,"R$ 1,68 Mil","0,788","0,078"
2015,4108304,Foz do Iguaçu - PR,"1,707","60,7 Mil",R$ 139 Milhões,"R$ 2,3 Mil","0,82","0,161"
2015,4314100,Passo Fundo - RS,"1,656","60,4 Mil",R$ 140 Milhões,"R$ 2,31 Mil","0,786","0,172"
2015,5218805,Rio Verde - GO,"1,429","58,4 Mil",R$ 119 Milhões,"R$ 2,03 Mil","0,821","0,178"
2015,3122306,Divinópolis - MG,"2,003","58,3 Mil",R$ 103 Milhões,"R$ 1,77 Mil","0,714","0,154"
2015,4318705,São Leopoldo - RS,"2,687","57,9 Mil",R$ 145 Milhões,"R$ 2,51 Mil","0,793","0,045"
2015,3167202,Sete Lagoas - MG,"1,914","57,4 Mil",R$ 108 Milhões,"R$ 1,88 Mil","0,781","0,144"
2015,5107602,Rondonópolis - MT,"1,428","57,2 Mil",R$ 120 Milhões,"R$ 2,09 Mil","0,798","0,194"
2015,3552403,Sumaré - SP,"3,066","55,6 Mil",R$ 180 Milhões,"R$ 3,23 Mil","0,818","0,02"
2015,3502804,Araçatuba - SP,"1,785","55,5 Mil",R$ 116 Milhões,"R$ 2,1 Mil","0,777","0,162"
2015,2105302,Imperatriz - MA,"1,462",55 Mil,"R$ 89,4 Milhões","R$ 1,63 Mil","0,784","0,196"
2015,3523909,Itu - SP,"2,542","54,9 Mil",R$ 137 Milhões,"R$ 2,5 Mil","0,755","0,062"
2015,3552502,Suzano - SP,"2,349","54,7 Mil",R$ 135 Milhões,"R$ 2,48 Mil","0,802","0,084"
2015,3201308,Cariacica - ES,"1,73","54,4 Mil",R$ 97 Milhões,"R$ 1,78 Mil","0,79","0,169"
2015,4315602,Rio Grande - RS,"1,698","53,3 Mil",R$ 149 Milhões,"R$ 2,8 Mil","0,892","0,114"
2015,3518701,Guarujá - SP,"1,505","52,7 Mil",R$ 135 Milhões,"R$ 2,57 Mil","0,893","0,127"
2015,4309209,Gravataí - RS,"2,824","52,2 Mil",R$ 122 Milhões,"R$ 2,33 Mil","0,817","0,032"
2015,3303401,Nova Friburgo - RJ,"1,537","51,8 Mil","R$ 82,2 Milhões","R$ 1,59 Mil","0,8","0,182"
2015,2307304,Juazeiro do Norte - CE,"1,508","49,8 Mil","R$ 71,4 Milhões","R$ 1,43 Mil","0,827","0,168"
2015,3151800,Poços de Caldas - MG,"1,838","49,5 Mil","R$ 97,2 Milhões","R$ 1,96 Mil","0,781","0,154"
2015,3201209,Cachoeiro de Itapemirim - ES,"1,627","49,4 Mil","R$ 91,4 Milhões","R$ 1,85 Mil","0,815","0,155"
2015,1505536,Parauapebas - PA,"2,071",49 Mil,R$ 134 Milhões,"R$ 2,73 Mil","0,9","0,087"
2015,3524402,Jacareí - SP,"2,424","48,9 Mil",R$ 131 Milhões,"R$ 2,68 Mil","0,823","0,075"
2015,4202909,Brusque - SC,"2,405","48,4 Mil",R$ 104 Milhões,"R$ 2,16 Mil","0,789","0,087"
2015,5108402,Várzea Grande - MT,"1,755","47,8 Mil","R$ 92,6 Milhões","R$ 1,93 Mil","0,773","0,173"
2015,3152501,Pouso Alegre - MG,"2,022","47,6 Mil","R$ 97,6 Milhões","R$ 2,05 Mil","0,803","0,122"
2015,1504208,Marabá - PA,"1,678","47,1 Mil","R$ 97,9 Milhões","R$ 2,08 Mil","0,827","0,145"
2015,2312908,Sobral - CE,"1,201",47 Mil,"R$ 73,6 Milhões","R$ 1,57 Mil","0,883","0,155"
2015,4202008,Balneário Camboriú - SC,"1,793","46,7 Mil","R$ 94,7 Milhões","R$ 2,03 Mil","0,805","0,154"
2015,3541000,Praia Grande - SP,"1,417","46,7 Mil","R$ 96,6 Milhões","R$ 2,07 Mil","0,864","0,15"
2015,3300704,Cabo Frio - RJ,"1,512","46,3 Mil","R$ 82,6 Milhões","R$ 1,78 Mil","0,859","0,156"
2015,3545803,Santa Bárbara D'oeste - SP,"2,524","45,8 Mil",R$ 105 Milhões,"R$ 2,29 Mil","0,777","0,062"
2015,4127700,Toledo - PR,"1,654","45,6 Mil","R$ 95,8 Milhões","R$ 2,1 Mil","0,801","0,163"
2015,3523107,Itaquaquecetuba - SP,"3,025","44,8 Mil","R$ 93,2 Milhões","R$ 2,08 Mil","0,747","-0,002"
2015,3519071,Hortolândia - SP,"3,402","44,6 Mil",R$ 185 Milhões,"R$ 4,14 Mil","0,888","0,016"
2015,3203205,Linhares - ES,"1,27","44,4 Mil",R$ 82 Milhões,"R$ 1,85 Mil","0,826","0,19"
2015,4119152,Pinhais - PR,"2,961","44,4 Mil","R$ 98,1 Milhões","R$ 2,21 Mil","0,693","0,008"
2015,4302105,Bento Gonçalves - RS,"2,488","44,4 Mil",R$ 122 Milhões,"R$ 2,74 Mil","0,809","0,069"
2015,3556206,Valinhos - SP,"2,67","44,2 Mil",R$ 123 Milhões,"R$ 2,79 Mil","0,732","0,053"
2015,2303709,Caucaia - CE,"1,845",44 Mil,"R$ 82,9 Milhões","R$ 1,88 Mil","0,86","0,115"
2015,3515004,Embu - SP,"2,376",44 Mil,R$ 103 Milhões,"R$ 2,34 Mil","0,839","0,082"
2015,3536505,Paulínia - SP,"3,026","43,9 Mil",R$ 170 Milhões,"R$ 3,88 Mil","0,869","0,037"
2015,1506807,Santarém - PA,"1,336","43,7 Mil","R$ 74,9 Milhões","R$ 1,72 Mil","0,82","0,189"
2015,2403251,Parnamirim - RN,"1,607","43,2 Mil","R$ 71,3 Milhões","R$ 1,65 Mil","0,844","0,151"
2015,4209300,Lages - SC,"1,744","43,1 Mil","R$ 78,3 Milhões","R$ 1,82 Mil","0,745","0,181"
2015,4101804,Araucária - PR,"3,097","42,8 Mil",R$ 146 Milhões,"R$ 3,42 Mil","0,837","0,022"
2015,3551702,Sertãozinho - SP,"2,462","42,6 Mil",R$ 110 Milhões,"R$ 2,58 Mil","0,847","0,069"
2015,3507605,Bragança Paulista - SP,"2,013","42,5 Mil","R$ 94,7 Milhões","R$ 2,23 Mil","0,756","0,137"
2015,3300100,Angra Dos Reis - RJ,"1,997","42,3 Mil",R$ 135 Milhões,"R$ 3,2 Mil","0,93","0,086"
2015,4109401,Guarapuava - PR,"1,369","42,3 Mil","R$ 94,9 Milhões","R$ 2,24 Mil","0,81","0,191"
2015,3144805,Nova Lima - MG,"2,876","41,9 Mil",R$ 136 Milhões,"R$ 3,25 Mil","0,862","0,047"
2015,3509205,Cajamar - SP,"2,953","41,8 Mil",R$ 115 Milhões,"R$ 2,74 Mil","0,828","0,031"
2015,3530706,Mogi Guaçu - SP,"2,134","41,7 Mil","R$ 96,8 Milhões","R$ 2,32 Mil","0,795","0,105"
2015,4303103,Cachoeirinha - RS,"2,844","41,4 Mil","R$ 85,9 Milhões","R$ 2,07 Mil","0,764","0,03"
2015,3551009,São Vicente - SP,"1,532","41,2 Mil","R$ 86,2 Milhões","R$ 2,09 Mil","0,856","0,151"
2015,3507506,Botucatu - SP,"1,812","41,2 Mil",R$ 113 Milhões,"R$ 2,73 Mil","0,863","0,117"
2015,4316808,Santa Cruz do Sul - RS,"1,755","40,6 Mil","R$ 95,1 Milhões","R$ 2,34 Mil","0,811","0,148"
2015,2914802,Itabuna - BA,"1,676","40,6 Mil",R$ 66 Milhões,"R$ 1,63 Mil","0,828","0,152"
2015,2602902,Cabo de Santo Agostinho - PE,"2,446","40,5 Mil","R$ 81,4 Milhões","R$ 2,01 Mil","0,832","0,073"
2015,2304285,Eusébio - CE,"2,742","40,4 Mil","R$ 67,5 Milhões","R$ 1,67 Mil","0,817","0,06"
2015,3170701,Varginha - MG,"2,152","40,2 Mil","R$ 72,8 Milhões","R$ 1,81 Mil","0,747","0,117"
2015,3504107,Atibaia - SP,"2,308","39,9 Mil",R$ 90 Milhões,"R$ 2,26 Mil","0,765","0,09"
2015,3148004,Patos de Minas - MG,"1,258","39,6 Mil","R$ 70,5 Milhões","R$ 1,78 Mil","0,77","0,231"
2015,3525300,Jaú - SP,"1,868","39,1 Mil","R$ 74,8 Milhões","R$ 1,91 Mil","0,796","0,135"
2015,4118204,Paranaguá - PR,"1,723",39 Mil,"R$ 91,6 Milhões","R$ 2,35 Mil","0,85","0,136"
2015,4105805,Colombo - PR,"2,399","38,6 Mil","R$ 80,6 Milhões","R$ 2,09 Mil","0,734","0,088"
2015,4218707,Tubarão - SC,"1,862","38,2 Mil","R$ 77,2 Milhões","R$ 2,02 Mil","0,762","0,158"
2015,3522505,Itapevi - SP,"2,937","38,1 Mil",R$ 115 Milhões,"R$ 3,01 Mil","0,875","0,04"
2015,4211900,Palhoça - SC,"2,03","38,1 Mil","R$ 72,3 Milhões","R$ 1,9 Mil","0,762","0,138"
2015,3503307,Araras - SP,"2,232","37,9 Mil",R$ 87 Milhões,"R$ 2,3 Mil","0,769","0,102"
2015,3305802,Teresópolis - RJ,"1,507","37,7 Mil","R$ 69,8 Milhões","R$ 1,85 Mil","0,857","0,153"
2015,2700300,Arapiraca - AL,"1,408","37,4 Mil","R$ 49,1 Milhões","R$ 1,31 Mil","0,824","0,179"
2015,3510609,Carapicuíba - SP,"2,109","37,3 Mil","R$ 73,3 Milhões","R$ 1,96 Mil","0,791","0,112"
2015,4307005,Erechim - RS,"1,979",37 Mil,R$ 76 Milhões,"R$ 2,05 Mil","0,768","0,134"
2015,3524709,Jaguariúna - SP,"2,948","36,9 Mil",R$ 104 Milhões,"R$ 2,81 Mil","0,898","0,043"
2015,3511102,Catanduva - SP,"1,938","36,7 Mil","R$ 76,2 Milhões","R$ 2,08 Mil","0,782","0,131"
2015,3300456,Belford Roxo - RJ,"1,684","36,4 Mil","R$ 67,5 Milhões","R$ 1,85 Mil","0,875","0,118"
2015,3522307,Itapetininga - SP,"1,307","36,3 Mil",R$ 63 Milhões,"R$ 1,74 Mil","0,791","0,208"
2015,3556701,Vinhedo - SP,"2,937","36,2 Mil",R$ 102 Milhões,"R$ 2,81 Mil","0,82","0,027"
2015,4101507,Arapongas - PR,"1,917",36 Mil,"R$ 71,4 Milhões","R$ 1,98 Mil","0,81","0,128"
2015,3513504,Cubatão - SP,"2,634",36 Mil,R$ 145 Milhões,"R$ 4,04 Mil","0,926","0,063"
2015,3300407,Barra Mansa - RJ,"1,796","35,7 Mil","R$ 62,7 Milhões","R$ 1,76 Mil","0,811","0,146"
2015,4311403,Lajeado - RS,"1,85","35,6 Mil","R$ 69,9 Milhões","R$ 1,96 Mil","0,808","0,14"
2015,3304201,Resende - RJ,"2,556","35,4 Mil",R$ 90 Milhões,"R$ 2,54 Mil","0,874","0,063"
2015,3523404,Itatiba - SP,"2,547","35,4 Mil","R$ 87,8 Milhões","R$ 2,48 Mil","0,749","0,061"
2015,5107909,Sinop - MT,"1,492","35,2 Mil","R$ 70,5 Milhões",R$ 2 Mil,"0,777","0,203"
2015,2607208,Ipojuca - PE,"2,509","34,9 Mil","R$ 99,4 Milhões","R$ 2,85 Mil","0,932","0,067"
2015,3131703,Itabira - MG,"1,679","34,8 Mil","R$ 79,7 Milhões","R$ 2,29 Mil","0,9","0,111"
2015,2610707,Paulista - PE,"1,507","34,7 Mil","R$ 54,8 Milhões","R$ 1,58 Mil","0,822","0,161"
2015,5008305,Três Lagoas - MS,"1,737","34,6 Mil","R$ 79,3 Milhões","R$ 2,29 Mil","0,839","0,13"
2015,3505500,Barretos - SP,"1,323","34,6 Mil","R$ 66,8 Milhões","R$ 1,93 Mil","0,85","0,163"
2015,3506508,Birigui - SP,"1,994","34,1 Mil","R$ 58,7 Milhões","R$ 1,72 Mil","0,813","0,116"
2015,4101408,Apucarana - PR,"1,833",34 Mil,"R$ 59,8 Milhões","R$ 1,76 Mil","0,76","0,162"
2015,3201506,Colatina - ES,"1,273","33,7 Mil","R$ 58,5 Milhões","R$ 1,74 Mil","0,835","0,182"
2015,3529302,Matão - SP,"2,347","33,4 Mil","R$ 76,9 Milhões","R$ 2,3 Mil","0,883","0,072"
2015,2913606,Ilhéus - BA,"1,497","32,9 Mil","R$ 69,9 Milhões","R$ 2,12 Mil","0,876","0,135"
2015,2918407,Juazeiro - BA,"1,104","32,9 Mil","R$ 54,4 Milhões","R$ 1,65 Mil","0,849","0,183"
2015,3538006,Pindamonhangaba - SP,"2,546","32,6 Mil","R$ 83,4 Milhões","R$ 2,56 Mil","0,859","0,061"
2015,2930709,Simões Filho - BA,"2,712","32,4 Mil","R$ 66,6 Milhões","R$ 2,05 Mil","0,784","0,055"
2015,4128104,Umuarama - PR,"1,457","31,7 Mil","R$ 56,2 Milhões","R$ 1,78 Mil","0,796","0,189"
